"ID","Meal Plan Description","Term Session Description","Entry Status Description","Room Location Description"
"100090081","Cardinal","Fall 2023","In Room","Roberts Hall"
"130020006","Cardinal","Fall 2023","In Room","Wallace Hall"
"130050056","Campanile","Fall 2023","In Room","Lyon Hall"
"150090099","Campanile","Fall 2023","In Room","Friley Hall"
"180100094","100 Meal Blocks","Fall 2023","History","Off Campus"
"110170194","25 Meal Blocks","Fall 2023","History","Off Campus"
"130100199","50 Meal Blocks","Fall 2023","History","Off Campus"
"140150175","Cardinal","Fall 2023","In Room","Welch Hall"
"150170105","50 Meal Blocks","Fall 2023","History","Off Campus"
"160230132","Gold","Fall 2023","In Room","Larch Hall"
"170290181","Gold","Fall 2023","In Room","Geoffroy Hall"
"130220227","Cardinal","Fall 2023","In Room","Geoffroy Hall"
"140380253","Cardinal","Fall 2023","In Room","Barton Hall"
"160310271","Cardinal","Fall 2023","In Room","Barton Hall"
"160300337","Cardinal","Fall 2023","In Room","Willow Hall"
"130550597","Cardinal","Fall 2023","In Room","Willow Hall"
"170640689","Cardinal","Fall 2023","In Room","Roberts Hall"
"110760725","Cardinal","Fall 2023","In Room","Eaton Hall"
"160920820","Cardinal","Fall 2023","In Room","Eaton Hall"
"160860868","100 Meal Blocks","Fall 2023","History","Off Campus"
"150080981","Cardinal","Fall 2023","In Room","Willow Hall"
"240030018","Campanile","Fall 2023","History","Off Campus"
"240190117","Cardinal","Fall 2023","In Room","Buchanan Hall"
"200380335","Cardinal","Fall 2023","In Room","Larch Hall"
"240450409","Cardinal","Fall 2023","In Room","Linden Hall"
"210550506","Cardinal","Fall 2023","In Room","Helser Hall"
"230680638","Cardinal","Fall 2023","In Room","Wilson Hall"
"200090713","Cardinal","Fall 2023","In Room","Geoffroy Hall"
"230740704","Gold","Fall 2023","In Room","Wilson Hall"
"290980863","Gold","Fall 2023","In Room","Helser Hall"
"280080954","Cardinal","Fall 2023","In Room","Linden Hall"
"300000026","Cardinal","Fall 2023","In Room","Geoffroy Hall"
"350110080","100 Meal Blocks","Fall 2023","History","Off Campus"
"380110090","Cardinal","Fall 2023","In Room","Friley Hall"
"370380232","Cardinal","Fall 2023","In Room","Willow Hall"
"390380223","Cardinal","Fall 2023","In Room","Friley Hall"
"310370355","Cardinal","Fall 2023","In Room","Friley Hall"
"370430331","25 Meal Blocks","Fall 2023","History","Off Campus"
"390470395","Cardinal","Fall 2023","In Room","Friley Hall"
"330400407","50 Meal Blocks","Fall 2023","In Room","Frederiksen Court 23"
"340500538","Gold","Fall 2023","In Room","Helser Hall"
"340710685","Cardinal","Fall 2023","In Room","Maple Hall"
"300710726","Cardinal","Fall 2023","In Room","Geoffroy Hall"
"320710757","25 Meal Blocks","Fall 2023","History","Off Campus"
"330710769","100 Meal Blocks","Fall 2023","History","Off Campus"
"340700776","Campanile","Fall 2023","History","Off Campus"
"390060953","25 Meal Blocks","Fall 2023","History","Off Campus"
"470240192","Gold","Fall 2023","In Room","Friley Hall"
"400290225","Cardinal","Fall 2023","In Room","Larch Hall"
"450410253","Campanile","Fall 2023","In Room","Frederiksen Court 82"
"460240288","Campanile","Fall 2023","History","Off Campus"
"440370368","Cardinal","Fall 2023","In Room","Wilson Hall"
"450500420","100 Meal Blocks","Fall 2023","History","Off Campus"
"470450429","100 Meal Blocks","Fall 2023","In Room","Frederiksen Court 22"
"490760634","Cardinal","Fall 2023","In Room","Wilson Hall"
"490810735","Cardinal","Fall 2023","In Room","Maple Hall"
