"ID","Meal Plan Description","Term Session Description","Entry Status Description","Room Location Description"
"100050053","Cardinal","Spring 2022","In Room","Eaton Hall"
"110010004","Cardinal","Spring 2022","In Room","Geoffroy Hall"
"110030032","Cyclone","Spring 2022","In Room","Helser Hall"
"130050046","Bronze","Spring 2022","History","Off Campus"
"130010067","Bronze","Spring 2022","In Room","Lyon Hall"
"140030057","Cardinal","Spring 2022","In Room","Friley Hall"
"160050079","85 Flex Block","Spring 2022","Application","Off Campus"
"180100094","Cardinal","Spring 2022","In Room","Helser Hall"
"100130161","Cardinal","Spring 2022","In Room","Lyon Hall"
"100150171","Cardinal","Spring 2022","In Room","Geoffroy Hall"
"110170194","Gold","Spring 2022","In Room","Friley Hall"
"120180186","Cardinal","Spring 2022","In Room","Helser Hall"
"140150175","Gold","Spring 2022","In Room","Welch Hall"
"150170105","Cardinal","Spring 2022","In Room","Willow Hall"
"120230225","Cardinal","Spring 2022","In Room","Geoffroy Hall"
"140210298","Cardinal","Spring 2022","In Room","Helser Hall"
"150240297","Cardinal","Spring 2022","In Room","Geoffroy Hall"
"150480486","50 Flex Block","Spring 2022","In Room","Frederiksen Court 72"
"120570563","RA Plan","Spring 2022","In Room","Larch Hall"
"140590568","Cardinal","Spring 2022","In Room","Welch Hall"
"110670685","Cardinal","Spring 2022","In Room","Willow Hall"
"110790721","Cardinal","Spring 2022","In Room","Friley Hall"
"130750727","Gold","Spring 2022","In Room","Eaton Hall"
"160860868","Gold","Spring 2022","In Room","Barton Hall"
"100940933","Cardinal","Spring 2022","In Room","Eaton Hall"
"110950982","Gold","Spring 2022","In Room","Buchanan Hall"
"130950956","Cardinal","Spring 2022","In Room","Birch Hall"
"150940936","Gold","Spring 2022","In Room","Maple Hall"
"240030018","Cardinal","Spring 2022","History","Off Campus"
"230150188","Cardinal","Spring 2022","In Room","Helser Hall"
"230990944","Cardinal","Spring 2022","In Room","Larch Hall"
"280040932","Gold","Spring 2022","In Room","Barton Hall"
"350000039","Gold","Spring 2022","In Room","Eaton Hall"
"360220100","Silver","Spring 2022","In Room","Friley Hall"
"300290284","Gold","Spring 2022","In Room","Willow Hall"
"320290213","Silver","Spring 2022","In Room","Frederiksen Court 71"
"380610523","Cardinal","Spring 2022","In Room","Friley Hall"
"340740715","Gold","Spring 2022","In Room","Eaton Hall"
"340700776","Cardinal","Spring 2022","In Room","Larch Hall"
"390890712","Cardinal","Spring 2022","In Room","Larch Hall"
"390940841","Silver","Spring 2022","In Room","Buchanan Hall"
"320990986","Bronze","Spring 2022","History","Off Campus"
"450200120","Cardinal","Spring 2022","In Room","Friley Hall"
"440210266","Cardinal","Spring 2022","Reserved","Martin Hall"
"490480390","Cardinal","Spring 2022","In Room","Helser Hall"
"450500420","Cardinal","Spring 2022","In Room","Martin Hall"
"450700650","Cyclone","Spring 2022","In Room","Maple Hall"
"580270229","Cardinal","Spring 2022","In Room","Buchanan Hall"
"570330358","Cardinal","Spring 2022","In Room","Friley Hall"
"570420392","Cardinal","Spring 2022","In Room","Larch Hall"
"500540575","Cardinal","Spring 2022","In Room","Elm Hall"
"600080054","Cyclone","Spring 2022","In Room","Friley Hall"
"610270272","85 Flex Block","Spring 2022","History","Off Campus"
"620200236","Bronze","Spring 2022","In Room","Friley Hall"
"600500545","Bronze","Spring 2022","In Room","Frederiksen Court 52"
"630580584","Cardinal","Spring 2022","In Room","Maple Hall"
"670640531","Gold","Spring 2022","In Room","Buchanan Hall"
"690600500","Cyclone","Spring 2022","In Room","Lyon Hall"
"650650639","Cardinal","Spring 2022","In Room","Geoffroy Hall"
"640700768","Cardinal","Spring 2022","In Room","Buchanan Hall"
"670020951","25 Flex Block","Spring 2022","History","Off Campus"
"740130158","Cyclone","Spring 2022","In Room","Oak Hall"
"740100189","Cardinal","Spring 2022","In Room","Helser Hall"
"710280252","Gold","Spring 2022","In Room","Martin Hall"
"780310284","Gold","Spring 2022","In Room","Helser Hall"
"720550563","Bronze","Spring 2022","In Room","Friley Hall"
"730600698","Cyclone","Spring 2022","In Room","Friley Hall"
"760600647","Cardinal","Spring 2022","In Room","Maple Hall"
"750790749","Cardinal","Spring 2022","In Room","Maple Hall"
"760720747","Bronze","Spring 2022","History","Off Campus"
"720840805","Cardinal","Spring 2022","In Room","Friley Hall"
"800000051","Cardinal","Spring 2022","In Room","Freeman Hall"
"830040047","Cardinal","Spring 2022","In Room","Friley Hall"
"800520545","Cardinal","Spring 2022","In Room","Elm Hall"
"820550525","Gold","Spring 2022","In Room","Welch Hall"
"860530527","Cardinal","Spring 2022","In Room","Barton Hall"
"830670633","Cardinal","Spring 2022","In Room","Willow Hall"
"840750718","Silver","Spring 2022","History","Off Campus"
"870740768","Bronze","Spring 2022","Reserved","Frederiksen Court 11"
