"ID","Meal Plan Description","Term Session Description","Entry Status Description","Room Location Description"
"100050053","Cardinal","Fall 2021","In Room","Eaton Hall"
"100070071","50 Flex Block","Fall 2021","Reserved","Off Campus"
"110010004","Cardinal","Fall 2021","In Room","Geoffroy Hall"
"110030032","Cyclone","Fall 2021","In Room","Helser Hall"
"130050046","Bronze","Fall 2021","History","Off Campus"
"130010067","Bronze","Fall 2021","In Room","Lyon Hall"
"140030057","Gold","Fall 2021","In Room","Friley Hall"
"150080026","50 Flex Block","Fall 2021","In Room","Frederiksen Court 42"
"160050079","85 Flex Block","Fall 2021","Application","Off Campus"
"180100094","Cardinal","Fall 2021","In Room","Helser Hall"
"100130161","Cardinal","Fall 2021","In Room","Lyon Hall"
"100150171","Cyclone","Fall 2021","In Room","Geoffroy Hall"
"110170194","Gold","Fall 2021","In Room","Friley Hall"
"120180186","Cardinal","Fall 2021","In Room","Helser Hall"
"130100199","50 Flex Block","Fall 2021","History","Off Campus"
"140150175","Gold","Fall 2021","In Room","Welch Hall"
"150170105","Cardinal","Fall 2021","In Room","Willow Hall"
"110280274","Cardinal","Fall 2021","Reserved","Larch Hall"
"120230225","Cardinal","Fall 2021","In Room","Geoffroy Hall"
"130350230","105 Flex Block","Fall 2021","In Room","Frederiksen Court 36"
"140210298","Cardinal","Fall 2021","In Room","Helser Hall"
"150240297","Cardinal","Fall 2021","In Room","Geoffroy Hall"
"150480486","Bronze","Fall 2021","In Room","Frederiksen Court 72"
"120570563","RA Plan","Fall 2021","In Room","Larch Hall"
"140590568","Cardinal","Fall 2021","In Room","Welch Hall"
"180630502","85 Flex Block","Fall 2021","In Room","Frederiksen Court 71"
"110670685","Cardinal","Fall 2021","In Room","Elm Hall"
"110790721","Cardinal","Fall 2021","In Room","Friley Hall"
"130750727","Cardinal","Fall 2021","In Room","Eaton Hall"
"160860868","Gold","Fall 2021","In Room","Barton Hall"
"100940933","Cardinal","Fall 2021","In Room","Eaton Hall"
"110950982","Cardinal","Fall 2021","In Room","Buchanan Hall"
"130950956","Cardinal","Fall 2021","In Room","Birch Hall"
"150940936","Gold","Fall 2021","In Room","Maple Hall"
"240030018","Cardinal","Fall 2021","History","Off Campus"
"230150188","Cardinal","Fall 2021","In Room","Helser Hall"
"250230257","Cardinal","Fall 2021","In Room","Willow Hall"
"280540549","Cardinal","Fall 2021","In Room","Lyon Hall"
"230990944","Cardinal","Fall 2021","In Room","Larch Hall"
"280040932","Cardinal","Fall 2021","In Room","Barton Hall"
"350000039","Gold","Fall 2021","In Room","Eaton Hall"
"320180193","85 Flex Block","Fall 2021","In Room","Frederiksen Court 36"
"360220100","Gold","Fall 2021","In Room","Friley Hall"
"300290284","Gold","Fall 2021","In Room","Willow Hall"
"320290213","Silver","Fall 2021","In Room","Frederiksen Court 71"
