"ID","Meal Plan Description","Term Session Description","Entry Status Description","Room Location Description"
"100090081","Gold","Spring 2024","In Room","Roberts Hall"
"130020006","Campanile","Spring 2024","In Room","Wallace Hall"
"130050056","Campanile","Spring 2024","In Room","Lyon Hall"
"150090099","Campanile","Spring 2024","In Room","Friley Hall"
"140150175","Cardinal","Spring 2024","In Room","Welch Hall"
"160230132","Gold","Spring 2024","In Room","Larch Hall"
"170290181","Campanile","Spring 2024","In Room","Geoffroy Hall"
"130220227","Cardinal","Spring 2024","In Room","Geoffroy Hall"
"140380253","Cardinal","Spring 2024","In Room","Barton Hall"
"160310271","Cardinal","Spring 2024","In Room","Barton Hall"
"160300337","Cardinal","Spring 2024","In Room","Willow Hall"
"130550597","Cardinal","Spring 2024","In Room","Willow Hall"
"170640689","Cardinal","Spring 2024","In Room","Roberts Hall"
"110760725","Cardinal","Spring 2024","In Room","Eaton Hall"
"160920820","Cardinal","Spring 2024","In Room","Freeman Hall"
"160860868","50 Meal Blocks","Spring 2024","History","Off Campus"
"150080981","Cardinal","Spring 2024","In Room","Willow Hall"
"240030018","Campanile","Spring 2024","History","Off Campus"
"240190117","Gold","Spring 2024","In Room","Buchanan Hall"
"200380335","Gold","Spring 2024","In Room","Larch Hall"
"240450409","Cardinal","Spring 2024","In Room","Linden Hall"
"210550506","Cardinal","Spring 2024","In Room","Helser Hall"
"230680638","Cardinal","Spring 2024","In Room","Wilson Hall"
"200090713","Cardinal","Spring 2024","In Room","Geoffroy Hall"
"230740704","Campanile","Spring 2024","In Room","Wilson Hall"
"260900882","Gold","Spring Only 2024","In Room","Friley Hall"
"290980863","Gold","Spring 2024","In Room","Helser Hall"
"280080954","Cardinal","Spring 2024","In Room","Linden Hall"
"300000026","Cardinal","Spring 2024","History","Off Campus"
"380110090","Cardinal","Spring 2024","In Room","Friley Hall"
"370380232","Cardinal","Spring 2024","In Room","Willow Hall"
"310370355","Cardinal","Spring 2024","In Room","Friley Hall"
"370430331","25 Meal Blocks","Spring 2024","History","Off Campus"
"340500538","Gold","Spring 2024","In Room","Helser Hall"
"340710685","Cardinal","Spring 2024","In Room","Maple Hall"
"300710726","Gold","Spring 2024","In Room","Geoffroy Hall"
"340700776","100 Meal Blocks","Spring 2024","History","Off Campus"
"470240192","Gold","Spring 2024","In Room","Friley Hall"
"400290225","Cardinal","Spring 2024","In Room","Geoffroy Hall"
"450410253","50 Meal Blocks","Spring 2024","In Room","Frederiksen Court"
"460240288","Campanile","Spring 2024","History","Off Campus"
"440370368","Cardinal","Spring 2024","In Room","Wilson Hall"
"450500420","25 Meal Blocks","Spring 2024","History","Off Campus"
"480690550","50 Meal Blocks","Spring 2024","History","Off Campus"
"490760634","Cardinal","Spring 2024","In Room","Wilson Hall"
"490810735","Campanile","Spring 2024","History","Off Campus"
"430830808","Cardinal","Spring 2024","In Room","Frederiksen Court"
"540140169","Cardinal","Spring 2024","In Room","Maple Hall"
"550210191","Cardinal","Spring 2024","In Room","Helser Hall"
"560220131","Gold","Spring 2024","In Room","Geoffroy Hall"
"560360185","Cardinal","Spring 2024","In Room","Friley Hall"
"560360231","Cardinal","Spring 2024","In Room","Birch Hall"
"570420392","Cardinal","Spring 2024","In Room","Frederiksen Court"
"590610500","Campanile","Spring 2024","In Room","Wilson Hall"
"510650687","Gold","Spring 2024","In Room","Frederiksen Court"
"520980927","Gold","Spring 2024","In Room","Geoffroy Hall"
"550990925","Cardinal","Spring 2024","In Room","Helser Hall"
"600060028","Cardinal","Spring 2024","In Room","Martin Hall"
"600050051","Cardinal","Spring 2024","In Room","Friley Hall"
"650490425","Cardinal","Spring 2024","In Room","Eaton Hall"
"600500545","Campanile","Spring 2024","History","Off Campus"
"620860863","Cardinal","Spring 2024","In Room","Eaton Hall"
"610920922","Gold","Spring 2024","In Room","Geoffroy Hall"
"610920977","Cardinal","Spring 2024","In Room","Friley Hall"
"730080046","Cardinal","Spring 2024","In Room","Helser Hall"
"740070039","Cardinal","Spring 2024","In Room","Helser Hall"
"770060068","Campanile","Spring 2024","In Room","Frederiksen Court"
"740130158","Campanile","Spring 2024","History","Off Campus"
"780330179","Cardinal","Spring 2024","In Room","Helser Hall"
"720460406","Campanile","Spring 2024","Application","Off Campus"
"720450447","Campanile","Spring 2024","History","Off Campus"
"760580410","Cardinal","Spring 2024","In Room","Willow Hall"
"730600698","50 Meal Blocks","Spring 2024","History","Off Campus"
"880230103","Cardinal","Spring 2024","In Room","Friley Hall"
"880260133","Cardinal","Spring 2024","In Room","Helser Hall"
"880250163","Cardinal","Spring 2024","In Room","Larch Hall"
"830250268","Gold","Spring 2024","In Room","Maple Hall"
"860280206","50 Meal Blocks","Spring 2024","Application","Off Campus"
"820550525","Gold","Spring 2024","In Room","Wallace Hall"
"850790690","Gold","Spring 2024","In Room","Geoffroy Hall"
"830760728","Gold","Spring 2024","In Room","Maple Hall"
"800870864","Cardinal","Spring 2024","In Room","Larch Hall"
"930170197","100 Meal Blocks","Spring 2024","History","Off Campus"
"950220286","Cardinal","Spring 2024","In Room","Geoffroy Hall"
"900390391","Gold","Spring 2024","In Room","Eaton Hall"
"950470390","Cardinal","Spring 2024","In Room","Maple Hall"
"940640669","Cardinal","Spring 2024","In Room","Maple Hall"
"900770791","Cardinal","Spring 2024","In Room","Birch Hall"
"930750778","Cardinal","Spring 2024","In Room","Larch Hall"
"900950943","25 Meal Blocks","Spring 2024","In Room","Frederiksen Court"
"070181011","Cardinal","Spring 2024","In Room","Martin Hall"
"040381348","Cardinal","Spring 2024","In Room","Wilson Hall"
"050411340","Cardinal","Spring 2024","In Room","Buchanan Hall"
"000401435","Cardinal","Spring 2024","In Room","Maple Hall"
"090571443","25 Meal Blocks","Spring 2024","In Room","Wallace Hall"
"000801798","Cardinal","Spring 2024","In Room","Frederiksen Court"
"060791797","Campanile","Spring 2024","History","Off Campus"
"050901860","Gold","Spring 2024","In Room","Helser Hall"
"100121100","Campanile","Spring 2024","In Room","Martin Hall"
"170141198","Cardinal","Spring 2024","In Room","Buchanan Hall"
"100451400","Gold","Spring 2024","In Room","Eaton Hall"
"180511453","Gold","Spring 2024","In Room","Larch Hall"
"190171424","Cardinal","Spring 2024","In Room","Welch Hall"
"140561577","Cardinal","Spring 2024","In Room","Willow Hall"
"110681686","Gold","Spring 2024","In Room","Wallace Hall"
"110691686","Cardinal","Spring 2024","In Room","Willow Hall"
"270031027","Gold","Spring 2024","In Room","Linden Hall"
"230211258","Cardinal","Spring 2024","In Room","Elm Hall"
"250701650","Gold","Spring 2024","In Room","Geoffroy Hall"
"260221681","Cardinal","Spring 2024","In Room","Willow Hall"
"210811801","Campanile","Spring 2024","History","Off Campus"
"200901913","Campanile","Spring 2024","In Room","Martin Hall"
"220921967","Gold","Spring 2024","In Room","Wilson Hall"
"350001049","Gold","Spring 2024","History","Off Campus"
"370141138","Gold","Spring 2024","In Room","Friley Hall"
"340401407","Cardinal","Spring 2024","History","Off Campus"
"390961853","Campanile","Spring 2024","In Room","Frederiksen Court"
"420061042","50 Meal Blocks","Spring 2024","Application","Off Campus"
"430241268","Gold","Spring 2024","In Room","Eaton Hall"
"440311318","Cardinal","Spring 2024","In Room","Lyon Hall"
"410431496","Cardinal","Spring 2024","In Room","Helser Hall"
"470531431","Cardinal","Spring 2024","In Room","Helser Hall"
"430591527","Campanile","Spring 2024","In Room","Martin Hall"
"430521536","Cardinal","Spring 2024","In Room","Birch Hall"
"400671644","Cardinal","Spring 2024","In Room","Eaton Hall"
"420671602","25 Meal Blocks","Spring 2024","History","Off Campus"
"440751774","RA Plan","Spring 2024","In Room","Helser Hall"
"490961833","Cardinal","Spring 2024","In Room","Linden Hall"
"540221288","Gold","Spring 2024","In Room","Willow Hall"
"550601580","Campanile","Spring 2024","In Room","Linden Hall"
"580781651","Cardinal","Spring 2024","In Room","Martin Hall"
"590791633","Gold","Spring 2024","In Room","Larch Hall"
"530861856","Cardinal","Spring 2024","In Room","Eaton Hall"
"640021008","Cardinal","Spring 2024","In Room","Friley Hall"
"650071029","Cardinal","Spring 2024","In Room","Geoffroy Hall"
"690171013","Gold","Spring 2024","In Room","Welch Hall"
"650131119","Cardinal","Spring 2024","In Room","Lyon Hall"
"690261113","Gold","Spring 2024","In Room","Willow Hall"
"610371344","Cardinal","Spring 2024","In Room","Buchanan Hall"
"630471467","Cardinal","Spring 2024","In Room","Willow Hall"
"610761744","Cardinal","Spring 2024","History","Off Campus"
"610771765","Cardinal","Spring 2024","In Room","Welch Hall"
"740071038","Gold","Spring 2024","In Room","Linden Hall"
"730151107","Cardinal","Spring 2024","In Room","Geoffroy Hall"
"730261217","Cardinal","Spring 2024","In Room","Elm Hall"
"710351354","RA Plan","Spring 2024","In Room","Geoffroy Hall"
"750691628","Gold","Spring 2024","In Room","Freeman Hall"
"780371633","50 Meal Blocks","Spring 2024","Application","Off Campus"
"700811875","Cardinal","Spring 2024","In Room","Buchanan Hall"
"800191124","Cardinal","Spring Only 2024","In Room","Willow Hall"
"880231142","Cardinal","Spring 2024","In Room","Geoffroy Hall"
"820391366","Cardinal","Spring 2024","In Room","Geoffroy Hall"
"880521483","Gold","Spring 2024","In Room","Wallace Hall"
"800591503","Cardinal","Spring 2024","In Room","Friley Hall"
"810521505","Cardinal","Spring 2024","In Room","Barton Hall"
"880691501","Gold","Spring 2024","In Room","Buchanan Hall"
"800611645","Campanile","Spring 2024","In Room","Frederiksen Court"
"810621675","Gold","Spring 2024","In Room","Welch Hall"
"880941938","RA Plan","Spring 2024","In Room","Maple Hall"
"930041066","Campanile","Spring 2024","In Room","Frederiksen Court"
"900741157","Cardinal","Spring 2024","In Room","Friley Hall"
"900571544","Cardinal","Spring 2024","In Room","Maple Hall"
"990661543","Cardinal","Spring 2024","In Room","Willow Hall"
"950611679","Cardinal","Spring 2024","In Room","Friley Hall"
"910791767","Cardinal","Spring 2024","In Room","Friley Hall"
"970891710","Cardinal","Spring 2024","In Room","Wilson Hall"
"970981959","Cardinal","Spring 2024","In Room","Helser Hall"
"420302355","Gold","Spring 2024","In Room","Buchanan Hall"
"460322339","Gold","Spring Only 2024","In Room","Frederiksen Court"
"400712744","Gold","Spring 2024","In Room","Elm Hall"
"500342384","Cardinal","Spring 2024","In Room","Friley Hall"
"540352358","Cardinal","Spring 2024","In Room","Friley Hall"
"550362388","Cardinal","Spring 2024","In Room","Martin Hall"
"590412353","Cardinal","Spring 2024","In Room","Willow Hall"
"580542472","Cardinal","Spring 2024","In Room","Welch Hall"
"560502596","RA Plan","Spring Only 2024","In Room","Buchanan Hall"
"510912900","Campanile","Spring 2024","In Room","Birch Hall"
"570012990","Campanile","Spring 2024","In Room","Friley Hall"
"630092036","Cardinal","Spring 2024","In Room","Willow Hall"
"690162054","Cardinal","Spring 2024","In Room","Geoffroy Hall"
"630112197","Cardinal","Spring 2024","In Room","Martin Hall"
"690432311","RA Plan","Spring 2024","In Room","Wilson Hall"
"630672662","Gold","Spring 2024","History","Off Campus"
"670682689","Cardinal","Spring 2024","In Room","Martin Hall"
"680712788","Cardinal","Spring 2024","In Room","Geoffroy Hall"
"630972987","Cardinal","Spring 2024","In Room","Martin Hall"
"740022033","RA Plan","Spring 2024","In Room","Larch Hall"
"760792775","Campanile","Spring 2024","History","Off Campus"
"710942973","100 Meal Blocks","Spring 2024","In Room","Linden Hall"
"830192174","Campanile","Spring 2024","In Room","Martin Hall"
"800222273","Cardinal","Spring 2024","In Room","Helser Hall"
"820282234","Gold","Spring 2024","In Room","Geoffroy Hall"
"870322230","Gold","Spring 2024","In Room","Helser Hall"
"870332240","Gold","Spring 2024","In Room","Linden Hall"
"820302315","Gold","Spring 2024","In Room","Friley Hall"
"850322336","Cardinal","Spring 2024","In Room","Linden Hall"
"830032530","Cardinal","Spring 2024","In Room","Wallace Hall"
"840582597","RA Cardinal","Spring 2024","In Room","Maple Hall"
"880652511","Gold","Spring 2024","In Room","Linden Hall"
"810662603","Cardinal","Spring 2024","History","Off Campus"
"870722630","Cardinal","Spring 2024","In Room","Buchanan Hall"
"800892863","Campanile","Spring 2024","In Room","Welch Hall"
"800862873","Gold","Spring 2024","In Room","Maple Hall"
"810852870","Cardinal","Spring Only 2024","In Room","Wallace Hall"
"810972984","Cardinal","Spring 2024","In Room","Eaton Hall"
"870012920","Cardinal","Spring 2024","In Room","Oak Hall"
"870062970","Gold","Spring 2024","In Room","Linden Hall"
"890042922","Campanile","Spring 2024","In Room","Linden Hall"
"920042065","Campanile","Spring 2024","In Room","Lyon Hall"
"930022067","Cardinal","Spring 2024","In Room","Friley Hall"
"950052006","100 Meal Blocks","Spring 2024","History","Off Campus"
"960002029","Cardinal","Spring 2024","In Room","Elm Hall"
"910182133","Cardinal","Spring 2024","In Room","Maple Hall"
"940152116","Cardinal","Spring 2024","In Room","Wilson Hall"
"990252111","Cardinal","Spring 2024","In Room","Barton Hall"
"980412321","Cardinal","Spring 2024","In Room","Friley Hall"
"900452431","Gold","Spring 2024","In Room","Welch Hall"
"910492453","Cardinal","Spring 2024","In Room","Welch Hall"
"970502420","Gold","Spring 2024","In Room","Geoffroy Hall"
"990552483","Cardinal","Spring 2024","In Room","Geoffroy Hall"
"960692608","Cardinal","Spring 2024","In Room","Willow Hall"
"990752622","Gold","Spring 2024","In Room","Eaton Hall"
"900792763","Cardinal","Spring 2024","In Room","Willow Hall"
"950752728","Cardinal","Spring 2024","In Room","Eaton Hall"
"970782749","Cardinal","Spring 2024","In Room","Larch Hall"
"980842721","Cardinal","Spring 2024","In Room","Maple Hall"
"920822845","50 Meal Blocks","Spring 2024","In Room","Frederiksen Court"
"920912965","Gold","Spring 2024","In Room","Geoffroy Hall"
"930932906","Cardinal","Spring 2024","In Room","Birch Hall"
"930992966","Cardinal","Spring 2024","In Room","Linden Hall"
"070073009","Gold","Spring 2024","In Room","Eaton Hall"
"040173112","Campanile","Spring 2024","In Room","Frederiksen Court"
"040143176","Campanile","Spring Only 2024","History","Off Campus"
"050263280","Cardinal","Spring 2024","In Room","Lyon Hall"
"000393383","Gold","Spring 2024","In Room","Geoffroy Hall"
"010523348","Gold","Spring 2024","In Room","Helser Hall"
"010733392","Campanile","Spring 2024","In Room","Martin Hall"
"040423446","Campanile","Spring 2024","In Room","Frederiksen Court"
"090623512","Cardinal","Spring 2024","In Room","Larch Hall"
"090683572","Cardinal","Spring 2024","In Room","Larch Hall"
"000783712","Cardinal","Spring 2024","In Room","Birch Hall"
"050873858","Cardinal","Spring 2024","In Room","Linden Hall"
"080043901","Cardinal","Spring 2024","In Room","Freeman Hall"
"130083065","Cardinal","Spring 2024","In Room","Linden Hall"
"130183079","Campanile","Spring 2024","In Room","Wallace Hall"
"120113155","Cardinal","Spring 2024","In Room","Elm Hall"
"160193138","Cardinal","Spring 2024","In Room","Welch Hall"
"170703691","Cardinal","Spring 2024","In Room","Buchanan Hall"
"120723765","Cardinal","Spring 2024","In Room","Helser Hall"
"240153167","Gold","Spring 2024","In Room","Helser Hall"
"260293224","Cardinal","Spring 2024","In Room","Helser Hall"
"220403455","Cardinal","Spring 2024","In Room","Martin Hall"
"210503584","Cardinal","Spring 2024","In Room","Friley Hall"
"290723533","Cardinal","Spring 2024","In Room","Wilson Hall"
"230863855","Cardinal","Spring 2024","In Room","Friley Hall"
"330053034","Gold","Spring 2024","In Room","Eaton Hall"
"340113148","Cardinal","Spring 2024","In Room","Friley Hall"
"370563480","Cardinal","Spring 2024","In Room","Helser Hall"
"300943791","Gold","Spring 2024","In Room","Willow Hall"
"320713725","Cardinal","Spring 2024","History","Off Campus"
"390973721","Cardinal","Spring 2024","History","Off Campus"
"300843832","Cardinal","Spring 2024","In Room","Oak Hall"
"320873895","Gold","Spring 2024","In Room","Eaton Hall"
"310973983","Cardinal","Spring 2024","In Room","Maple Hall"
"350933977","Gold","Spring 2024","In Room","Maple Hall"
"410183151","Cardinal","Spring 2024","In Room","Linden Hall"
"410103174","Gold","Spring 2024","In Room","Larch Hall"
"420183184","Cardinal","Spring 2024","In Room","Helser Hall"
"440943116","Cardinal","Spring 2024","In Room","Wallace Hall"
"470143188","25 Meal Blocks","Spring 2024","History","Off Campus"
"400853822","Campanile","Spring 2024","In Room","Linden Hall"
"560053028","RA Plan","Spring 2024","In Room","Buchanan Hall"
"530143141","Cardinal","Spring 2024","In Room","Helser Hall"
"590533527","Cardinal","Spring 2024","In Room","Maple Hall"
"540643687","Gold","Spring 2024","In Room","Maple Hall"
"590743651","Campanile","Spring 2024","History","Off Campus"
"520713724","Cardinal","Spring 2024","In Room","Friley Hall"
"520723765","Cardinal","Spring 2024","In Room","Larch Hall"
"540943987","Gold","Spring 2024","In Room","Willow Hall"
"560933987","50 Meal Blocks","Spring 2024","In Room","Frederiksen Court"
"680063039","Cardinal","Spring 2024","In Room","Welch Hall"
"630643696","Cardinal","Spring 2024","In Room","Maple Hall"
"690783671","Gold","Spring 2024","In Room","Willow Hall"
"720183174","Cardinal","Spring 2024","In Room","Wilson Hall"
"770213134","Campanile","Spring 2024","In Room","Buchanan Hall"
"770293228","Cardinal","Spring 2024","In Room","Geoffroy Hall"
"770393399","Cardinal","Spring 2024","In Room","Wilson Hall"
"730483491","25 Meal Blocks","Spring 2024","History","Off Campus"
"740743406","Cardinal","Spring 2024","In Room","Eaton Hall"
"730593503","Cardinal","Spring 2024","In Room","Willow Hall"
"780663560","Cardinal","Spring 2024","In Room","Helser Hall"
"830083034","Gold","Spring 2024","In Room","Frederiksen Court"
"800143112","Gold","Spring 2024","In Room","Barton Hall"
"880193178","Gold","Spring 2024","In Room","Maple Hall"
"800593552","Cardinal","Spring 2024","In Room","Geoffroy Hall"
"820923940","Cardinal","Spring 2024","In Room","Friley Hall"
"930033045","Gold","Spring 2024","In Room","Willow Hall"
"940023036","Cardinal","Spring 2024","In Room","Willow Hall"
"980163080","Cardinal","Spring 2024","History","Off Campus"
"950193177","Cardinal","Spring 2024","In Room","Geoffroy Hall"
"920223222","Cardinal","Spring 2024","In Room","Willow Hall"
"940273201","Gold","Spring 2024","In Room","Willow Hall"
"990323327","Campanile","Spring 2024","In Room","Friley Hall"
"930433434","Cardinal","Spring 2024","In Room","Helser Hall"
"910773743","Gold","Spring 2024","In Room","Geoffroy Hall"
"930713745","RA Plan","Spring 2024","In Room","Eaton Hall"
"940793726","Cardinal","Spring 2024","In Room","Wilson Hall"
"910763818","25 Meal Blocks","Spring 2024","History","Off Campus"
"030174144","Campanile","Spring Only 2024","In Room","Frederiksen Court"
"050134112","Cardinal","Spring 2024","In Room","Helser Hall"
"090104177","Campanile","Spring 2024","History","Off Campus"
"000344393","Gold","Spring 2024","In Room","Helser Hall"
"060314327","Cardinal","Spring 2024","In Room","Helser Hall"
"080454307","Cardinal","Spring 2024","In Room","Buchanan Hall"
"080464445","Cardinal","Spring 2024","In Room","Helser Hall"
"030514566","Cardinal","Spring 2024","In Room","Friley Hall"
"060224572","Campanile","Spring 2024","In Room","Larch Hall"
"070574538","Cardinal","Spring 2024","In Room","Maple Hall"
"050704788","Gold","Spring 2024","In Room","Maple Hall"
"070794728","Gold","Spring 2024","In Room","Willow Hall"
"080984959","Cardinal","Spring 2024","In Room","Eaton Hall"
"160224098","Cardinal","Spring 2024","In Room","Friley Hall"
"120134103","Cardinal","Spring 2024","In Room","Helser Hall"
"110284338","Campanile","Spring 2024","In Room","Frederiksen Court"
"120434413","Cardinal","Spring 2024","In Room","Helser Hall"
"190744528","Gold","Spring 2024","In Room","Geoffroy Hall"
"110524638","Cardinal","Spring 2024","In Room","Helser Hall"
"150744772","50 Meal Blocks","Spring 2024","History","Off Campus"
"100704868","Cardinal","Spring 2024","In Room","Barton Hall"
"210014022","Gold","Spring 2024","History","Off Campus"
"230014044","Gold","Spring 2024","In Room","Frederiksen Court"
"220324137","Cardinal","Spring 2024","In Room","Elm Hall"
"260234278","Cardinal","Spring 2024","In Room","Buchanan Hall"
"230464473","Campanile","Spring 2024","History","Off Campus"
"260494447","Campanile","Spring 2024","History","Off Campus"
"280404456","Cardinal","Spring 2024","In Room","Helser Hall"
"220524619","Cardinal","Spring 2024","In Room","Martin Hall"
"240734715","Cardinal","Spring 2024","In Room","Friley Hall"
"310084082","Cardinal","Spring 2024","In Room","Oak Hall"
"310174278","Cardinal","Spring 2024","In Room","Roberts Hall"
"300324372","Gold","Spring 2024","In Room","Eaton Hall"
"390424320","Cardinal","Spring 2024","In Room","Friley Hall"
"390744600","Gold","Spring 2024","In Room","Martin Hall"
"330724720","Cardinal","Spring 2024","In Room","Wallace Hall"
"320724809","Cardinal","Spring Only 2024","In Room","Elm Hall"
"450014047","25 Meal Blocks","Spring 2024","In Room","Frederiksen Court"
"490084079","Cardinal","Spring 2024","In Room","Friley Hall"
"450154123","Cardinal","Spring Only 2024","In Room","Frederiksen Court"
"420364373","Cardinal","Spring 2024","In Room","Willow Hall"
"450894896","25 Meal Blocks","Spring 2024","Application","Off Campus"
"480844859","Cardinal","Spring 2024","In Room","Oak Hall"
"590034016","Cardinal","Spring 2024","In Room","Willow Hall"
"510134192","Gold","Spring 2024","In Room","Eaton Hall"
"540104186","Cardinal","Spring 2024","In Room","Willow Hall"
"560284296","Campanile","Spring 2024","In Room","University Village"
"580564589","Cardinal","Spring 2024","In Room","Friley Hall"
"550724702","Campanile","Spring 2024","History","Off Campus"
"630214280","Campanile","Spring 2024","In Room","Frederiksen Court"
"660454384","Campanile","Spring 2024","History","Off Campus"
"620494483","Cardinal","Spring 2024","In Room","Helser Hall"
"690554424","Cardinal","Spring Only 2024","In Room","Maple Hall"
"650634616","Cardinal","Spring 2024","In Room","Linden Hall"
"670684636","Cardinal","Spring Only 2024","In Room","Elm Hall"
"610774701","Campanile","Spring 2024","In Room","Martin Hall"
"610754793","Cardinal","Spring Only 2024","In Room","Linden Hall"
"680854848","Campanile","Spring 2024","In Room","Wallace Hall"
"690994880","Cardinal","Spring 2024","In Room","Helser Hall"
"750844197","Cardinal","Spring 2024","In Room","Wilson Hall"
"710364428","Cardinal","Spring 2024","In Room","Willow Hall"
"710514552","Cardinal","Spring 2024","In Room","Frederiksen Court"
"730564514","Cardinal","Spring 2024","In Room","Buchanan Hall"
"710774732","Cardinal","Spring 2024","In Room","Lyon Hall"
"720724784","Cardinal","Spring 2024","In Room","Geoffroy Hall"
"790964820","Cardinal","Spring 2024","History","Off Campus"
"760904926","Cardinal","Spring 2024","In Room","Willow Hall"
"830224224","Cardinal","Spring 2024","In Room","Buchanan Hall"
"810384407","Gold","Spring 2024","In Room","Frederiksen Court"
"830404481","Cardinal","Spring 2024","In Room","Friley Hall"
"850594535","100 Meal Blocks","Spring 2024","In Room","Wallace Hall"
"840644661","Cardinal","Spring 2024","In Room","Eaton Hall"
"830864840","Campanile","Spring 2024","In Room","University Village"
"830864919","Cardinal","Spring 2024","In Room","Helser Hall"
"830304933","Campanile","Spring Only 2024","In Room","Frederiksen Court"
"910024002","Campanile","Spring 2024","In Room","Eaton Hall"
"910114089","Gold","Spring 2024","In Room","Elm Hall"
"930154131","Gold","Spring 2024","In Room","Friley Hall"
"950834366","Gold","Spring 2024","Application","Off Campus"
"970324348","Gold","Spring 2024","In Room","Larch Hall"
"970854878","Gold","Spring 2024","In Room","Linden Hall"
"920864908","Campanile","Spring 2024","In Room","Helser Hall"
"950974996","Cardinal","Spring 2024","In Room","Buchanan Hall"
"010055082","Gold","Spring 2024","In Room","Elm Hall"
"050155197","Cardinal","Spring 2024","In Room","Larch Hall"
"090225289","Campanile","Spring 2024","In Room","University Village"
"050625655","Cardinal","Spring 2024","In Room","Frederiksen Court"
"040765795","Campanile","Spring 2024","In Room","Friley Hall"
"150065005","Gold","Spring 2024","In Room","Friley Hall"
"110115112","Cardinal","Spring 2024","In Room","Linden Hall"
"120185141","Cardinal","Spring 2024","In Room","Geoffroy Hall"
"120115142","25 Meal Blocks","Spring 2024","History","Off Campus"
"150355240","Gold","Spring 2024","In Room","Geoffroy Hall"
"150335366","Cardinal","Spring 2024","In Room","Linden Hall"
"160395342","Campanile","Spring 2024","In Room","Frederiksen Court"
"170665683","Gold","Spring 2024","In Room","Maple Hall"
"290145128","Cardinal","Spring 2024","In Room","Friley Hall"
"200335371","Cardinal","Spring 2024","In Room","Willow Hall"
"240515552","Cardinal","Spring 2024","In Room","Geoffroy Hall"
"250595505","Campanile","Spring 2024","In Room","Frederiksen Court"
"270595587","Campanile","Spring 2024","In Room","Frederiksen Court"
"290685668","Gold","Spring 2024","In Room","University Village"
"240845834","Cardinal","Spring 2024","In Room","Buchanan Hall"
"250975915","Gold","Spring 2024","In Room","Wilson Hall"
"350175104","Cardinal","Spring 2024","In Room","Helser Hall"
"330225280","RA Plan","Spring 2024","In Room","Martin Hall"
"340355350","Cardinal","Spring 2024","In Room","Elm Hall"
"310465537","Cardinal","Spring 2024","In Room","Martin Hall"
"310435538","Cardinal","Spring 2024","In Room","Martin Hall"
"320455558","Cardinal","Spring 2024","In Room","Linden Hall"
"380565539","Campanile","Spring 2024","In Room","Friley Hall"
"380725738","Campanile","Spring 2024","In Room","Helser Hall"
"320865883","Cardinal","Spring 2024","In Room","Eaton Hall"
"350805853","Campanile","Spring 2024","In Room","Frederiksen Court"
"460035086","Cardinal","Spring 2024","History","Off Campus"
"440205275","Cardinal","Spring 2024","In Room","Larch Hall"
"450285285","Campanile","Spring 2024","In Room","Frederiksen Court"
"400465481","Gold","Spring 2024","In Room","Helser Hall"
"460505566","100 Meal Blocks","Spring 2024","Application","Off Campus"
"400795750","Cardinal","Spring 2024","In Room","Elm Hall"
"430725733","Cardinal","Spring 2024","In Room","Larch Hall"
"440905771","Gold","Spring 2024","In Room","Freeman Hall"
"420105965","Cardinal","Spring 2024","In Room","Larch Hall"
"450985955","Cardinal","Spring 2024","In Room","Eaton Hall"
"500015060","Cardinal","Spring 2024","In Room","Willow Hall"
"530155041","50 Meal Blocks","Spring 2024","History","Off Campus"
"530685087","Gold","Spring 2024","In Room","Wilson Hall"
"550005092","Cardinal","Spring 2024","In Room","Helser Hall"
"570095037","25 Meal Blocks","Spring 2024","History","Off Campus"
"510315342","Cardinal","Spring 2024","In Room","Eaton Hall"
"520375382","Cardinal","Spring 2024","In Room","Geoffroy Hall"
"560815847","Cardinal","Spring 2024","In Room","Eaton Hall"
"590205854","Gold","Spring 2024","In Room","Larch Hall"
"590935860","Gold","Spring 2024","In Room","Geoffroy Hall"
"530905923","Cardinal","Spring 2024","In Room","Eaton Hall"
"530995933","Cardinal","Spring 2024","In Room","Helser Hall"
"660005057","Cardinal","Spring 2024","In Room","Geoffroy Hall"
"670115157","Campanile","Spring 2024","In Room","Buchanan Hall"
"670245237","Cardinal","Spring 2024","In Room","Friley Hall"
"610395331","Gold","Spring 2024","In Room","Roberts Hall"
"660795746","Cardinal","Spring 2024","In Room","Buchanan Hall"
"770265257","Cardinal","Spring 2024","In Room","Friley Hall"
"740455454","Campanile","Spring 2024","In Room","Friley Hall"
"770525533","Gold","Spring 2024","In Room","Oak Hall"
"790515599","Campanile","Spring 2024","History","Off Campus"
"760615677","Gold","Spring 2024","In Room","Helser Hall"
"740785750","50 Meal Blocks","Spring 2024","Cancelled","Off Campus"
"750875814","Cardinal","Spring 2024","In Room","Friley Hall"
