"ID","Meal.Plan.Description","Term.Session.Description","Room.Location.Description","Price.Year"
59910731,"Campanile","Fall 2024","Frederiksen Court",3928
89370760,"Cardinal","Fall 2024","Geoffroy Hall",5108
39070908,"Gold","Fall 2024","Friley Hall",4800
159240031,"Cardinal","Fall 2024","Friley Hall",5108
179260108,"Cardinal","Fall 2024","Helser Hall",5108
189320183,"100 Meal Blocks","Fall 2024","Off Campus",1287
169590340,"50 Meal Blocks","Fall 2024","Off Campus",656
129720427,"Campanile","Fall 2024","Off Campus",3928
199670455,"Cardinal","Fall 2024","Willow Hall",5108
139140505,"Cardinal","Fall 2024","Willow Hall",5108
179810682,"Gold","Fall 2024","Wilson Hall",4800
179730872,"Cardinal","Fall 2024","Friley Hall",5108
169170911,"25 Meal Blocks","Fall 2024","Frederiksen Court",336
259520089,"Cardinal","Fall 2024","Martin Hall",5108
289670074,"Cardinal","Fall 2024","Lyon Hall",5108
229370213,"Cardinal","Fall 2024","Willow Hall",5108
269850304,"Cardinal","Fall 2024","Buchanan Hall",5108
209550401,"Cardinal","Fall 2024","Friley Hall",5108
209510416,"Cardinal","Fall 2024","Wallace Hall",5108
269870413,"Cardinal","Fall 2024","Wilson Hall",5108
279920784,"Gold","Fall 2024","Oak Hall",4800
219930877,"Cardinal","Fall 2024","Geoffroy Hall",5108
249460842,"Cardinal","Fall 2024","Willow Hall",5108
349190039,"Cardinal","Fall 2024","Martin Hall",5108
389290056,"Gold","Fall 2024","Willow Hall",4800
399310165,"25 Meal Blocks","Fall 2024","Off Campus",336
399370185,"Cardinal","Fall 2024","Buchanan Hall",5108
309490305,"Gold","Fall 2024","Willow Hall",4800
389520329,"Cardinal","Fall 2024","Friley Hall",5108
369770521,"Cardinal","Fall 2024","Wilson Hall",5108
379750628,"Campanile","Fall 2024","Off Campus",3928
379150748,"Cardinal","Fall 2024","Helser Hall",5108
339950867,"Cardinal","Fall 2024","Off Campus",5108
319040906,"Cardinal","Fall 2024","Off Campus",5108
379180982,"Cardinal","Fall 2024","Frederiksen Court",5108
409130086,"50 Meal Blocks","Fall 2024","Off Campus",656
409130086,"25 Meal Blocks","Fall 2024","Off Campus",336
469140078,"25 Meal Blocks","Fall 2024","Off Campus",336
489270023,"Campanile","Fall 2024","Frederiksen Court",3928
429530404,"Gold","Fall 2024","Wilson Hall",4800
419680535,"Campanile","Fall 2024","Wilson Hall",3928
439610518,"Campanile","Fall 2024","Frederiksen Court",3928
409530604,"Gold","Fall 2024","Linden Hall",4800
419790696,"Gold","Fall 2024","Oak Hall",4800
439840729,"Cardinal","Fall 2024","Friley Hall",5108
499150712,"Cardinal","Fall 2024","Elm Hall",5108
439010955,"100 Meal Blocks","Fall 2024","Frederiksen Court",1287
499850954,"Cardinal","Fall 2024","Geoffroy Hall",5108
499130995,"Cardinal","Fall 2024","Friley Hall",5108
569610002,"Cardinal","Fall 2024","Willow Hall",5108
509220156,"Cardinal","Fall 2024","Friley Hall",5108
539290168,"Cardinal","Fall 2024","Birch Hall",5108
589360194,"Gold","Fall 2024","Helser Hall",4800
539430245,"Cardinal","Fall 2024","Helser Hall",5108
529630558,"Campanile","Fall 2024","Frederiksen Court",3928
599750543,"Campanile","Fall 2024","Frederiksen Court",3928
539860668,"Campanile","Fall 2024","Off Campus",3928
509920801,"Cardinal","Fall 2024","Oak Hall",5108
569460960,"Cardinal","Fall 2024","Off Campus",5108
699210015,"Cardinal","Fall 2024","Willow Hall",5108
629630139,"Gold","Fall 2024","Willow Hall",4800
639200195,"Cardinal","Fall 2024","Buchanan Hall",5108
649120100,"Cardinal","Fall 2024","Wilson Hall",5108
639480252,"50 Meal Blocks","Fall 2024","Off Campus",656
689450339,"Campanile","Fall 2024","Wallace Hall",3928
639050988,"100 Meal Blocks","Fall 2024","Frederiksen Court",1287
649610907,"Gold","Fall 2024","Wilson Hall",4800
759470305,"Cardinal","Fall 2024","Buchanan Hall",5108
709510405,"Cardinal","Fall 2024","Larch Hall",5108
769570477,"Cardinal","Fall 2024","Frederiksen Court",5108
789660403,"Cardinal","Fall 2024","Friley Hall",5108
759680576,"Campanile","Fall 2024","Off Campus",3928
759750580,"Gold","Fall 2024","Geoffroy Hall",4800
789710649,"50 Meal Blocks","Fall 2024","Frederiksen Court",656
759840779,"Cardinal","Fall 2024","Geoffroy Hall",5108
739980838,"Cardinal","Fall 2024","Friley Hall",5108
769990819,"50 Meal Blocks","Fall 2024","Off Campus",656
749550951,"Cardinal","Fall 2024","Oak Hall",5108
899380104,"Cardinal","Fall 2024","Geoffroy Hall",5108
829460289,"Cardinal","Fall 2024","Friley Hall",5108
819470366,"Campanile","Fall 2024","Off Campus",3928
869620472,"Cardinal","Fall 2024","Eaton Hall",5108
899630400,"Cardinal","Fall 2024","Buchanan Hall",5108
849730635,"Campanile","Fall 2024","Frederiksen Court",3928
839880799,"100 Meal Blocks","Fall 2024","Off Campus",1287
849660715,"Cardinal","Fall 2024","Geoffroy Hall",5108
859060860,"Cardinal","Fall 2024","Frederiksen Court",5108
849460936,"Gold","Fall 2024","Wilson Hall",4800
949180107,"Cardinal","Fall 2024","Linden Hall",5108
929360237,"Cardinal","Fall 2024","Maple Hall",5108
999430274,"Cardinal","Fall 2024","Buchanan Hall",5108
939150536,"Cardinal","Fall 2024","Larch Hall",5108
919640672,"Cardinal","Fall 2024","Oak Hall",5108
939880661,"Cardinal","Fall 2024","Friley Hall",5108
989540614,"Cardinal","Fall 2024","Wilson Hall",5108
999940646,"Campanile","Fall 2024","Wilson Hall",3928
979030739,"Cardinal","Fall 2024","Elm Hall",5108
959470813,"Cardinal","Fall 2024","Elm Hall",5108
999050803,"Gold","Fall 2024","Martin Hall",4800
959630918,"Cardinal","Fall 2024","Oak Hall",5108
969180961,"50 Meal Blocks","Fall 2024","Off Campus",656
99371133,"Campanile","Fall 2024","Frederiksen Court",3928
19441366,"Campanile","Fall 2024","Off Campus",3928
29971553,"Cardinal","Fall 2024","Martin Hall",5108
79811799,"Cardinal","Fall 2024","Friley Hall",5108
29881837,"Cardinal","Fall 2024","Friley Hall",5108
29061997,"Cardinal","Fall 2024","Geoffroy Hall",5108
169561070,"Cardinal","Fall 2024","Helser Hall",5108
109781176,"Campanile","Fall 2024","Wilson Hall",3928
199301124,"Campanile","Fall 2024","Frederiksen Court",3928
199041163,"Cardinal","Fall 2024","Geoffroy Hall",5108
129461357,"50 Meal Blocks","Fall 2024","Off Campus",656
149271335,"50 Meal Blocks","Fall 2024","Off Campus",656
159561350,"50 Meal Blocks","Fall 2024","University Village",656
109561485,"Campanile","Fall 2024","Frederiksen Court",3928
159241414,"Gold","Fall 2024","Linden Hall",4800
159421475,"Gold","Fall 2024","Frederiksen Court",4800
119091678,"Cardinal","Fall 2024","Birch Hall",5108
109821765,"Cardinal","Fall 2024","Martin Hall",5108
139971823,"25 Meal Blocks","Fall 2024","Off Campus",336
149591901,"Cardinal","Fall 2024","Friley Hall",5108
289871085,"Gold","Fall 2024","Birch Hall",4800
249481141,"Cardinal","Fall 2024","Wilson Hall",5108
269301101,"Cardinal","Fall 2024","Geoffroy Hall",5108
249421379,"Cardinal","Fall 2024","Friley Hall",5108
219171507,"Cardinal","Fall 2024","Wallace Hall",5108
229871767,"Cardinal","Fall 2024","Friley Hall",5108
259871759,"Cardinal","Fall 2024","Friley Hall",5108
269851746,"25 Meal Blocks","Fall 2024","Frederiksen Court",336
299141933,"Cardinal","Fall 2024","Geoffroy Hall",5108
349191038,"Gold","Fall 2024","Buchanan Hall",4800
379211052,"Cardinal","Fall 2024","Lyon Hall",5108
329441397,"Campanile","Fall 2024","Off Campus",3928
359641549,"Gold","Fall 2024","Off Campus",4800
389551517,"Gold","Fall 2024","Helser Hall",4800
309711604,"Gold","Fall 2024","Willow Hall",4800
319171668,"Cardinal","Fall 2024","Welch Hall",5108
349731647,"Cardinal","Fall 2024","Oak Hall",5108
389001823,"Cardinal","Fall 2024","Martin Hall",5108
379061937,"Cardinal","Fall 2024","Friley Hall",5108
379971983,"Cardinal","Fall 2024","Helser Hall",5108
469251008,"Cardinal","Fall 2024","Friley Hall",5108
449491221,"Cardinal","Fall 2024","Frederiksen Court",5108
469431230,"Cardinal","Fall 2024","Friley Hall",5108
409731685,"Cardinal","Fall 2024","Linden Hall",5108
429921625,"Cardinal","Fall 2024","Geoffroy Hall",5108
429781631,"100 Meal Blocks","Fall 2024","Off Campus",1287
479261718,"Cardinal","Fall 2024","Willow Hall",5108
459001830,"Gold","Fall 2024","Friley Hall",4800
569651060,"Cardinal","Fall 2024","Friley Hall",5108
539761653,"Cardinal","Fall 2024","Geoffroy Hall",5108
599971621,"50 Meal Blocks","Fall 2024","Off Campus",656
549891737,"Cardinal","Fall 2024","Off Campus",5108
599981782,"50 Meal Blocks","Fall 2024","Off Campus",656
549971837,"Gold","Fall 2024","Off Campus",4800
669221040,"100 Meal Blocks","Fall 2024","Off Campus",1287
679211052,"Campanile","Fall 2024","Off Campus",3928
659291118,"Campanile","Fall 2024","Frederiksen Court",3928
669351244,"Cardinal","Fall 2024","Eaton Hall",5108
619451331,"Gold","Fall 2024","Martin Hall",4800
669511365,"Cardinal","Fall 2024","Larch Hall",5108
689671442,"Cardinal","Fall 2024","Larch Hall",5108
689741573,"Cardinal","Fall 2024","Friley Hall",5108
649881768,"Cardinal","Fall 2024","Helser Hall",5108
609031838,"Cardinal","Fall 2024","Helser Hall",5108
679091851,"Cardinal","Fall 2024","Helser Hall",5108
699061853,"Cardinal","Fall 2024","Helser Hall",5108
749131068,"Campanile","Fall 2024","Off Campus",3928
779881180,"Cardinal","Fall 2024","Larch Hall",5108
729771342,"Cardinal","Fall 2024","Lyon Hall",5108
749791362,"Cardinal","Fall 2024","Friley Hall",5108
709511494,"50 Meal Blocks","Fall 2024","Frederiksen Court",656
719531425,"25 Meal Blocks","Fall 2024","Off Campus",336
719161599,"Gold","Fall 2024","Wilson Hall",4800
759681569,"Cardinal","Fall 2024","Roberts Hall",5108
759681585,"Cardinal","Fall 2024","Geoffroy Hall",5108
749721658,"Cardinal","Fall 2024","Buchanan Hall",5108
709071717,"Cardinal","Fall 2024","Friley Hall",5108
799961721,"25 Meal Blocks","Fall 2024","Off Campus",336
739901887,"50 Meal Blocks","Fall 2024","Off Campus",656
749081978,"Cardinal","Fall 2024","Off Campus",5108
839191057,"Cardinal","Fall 2024","Larch Hall",5108
889311142,"Campanile","Fall 2024","Frederiksen Court",3928
889321183,"Cardinal","Fall 2024","Willow Hall",5108
809441344,"Campanile","Fall 2024","Frederiksen Court",3928
839971816,"Cardinal","Fall 2024","Martin Hall",5108
979621079,"Cardinal","Fall 2024","Linden Hall",5108
989181103,"Cardinal","Fall 2024","Helser Hall",5108
919421335,"Cardinal","Fall 2024","Maple Hall",5108
919821706,"Cardinal","Fall 2024","Frederiksen Court",5108
929021917,"Cardinal","Fall 2024","Eaton Hall",5108
929041966,"Cardinal","Fall 2024","Geoffroy Hall",5108
979101921,"Cardinal","Fall 2024","Willow Hall",5108
19632500,"Cardinal","Fall 2024","Buchanan Hall",5108
49632554,"Gold","Fall 2024","Maple Hall",4800
59612539,"Gold","Fall 2024","Larch Hall",4800
89532538,"Cardinal","Fall 2024","Helser Hall",5108
99732525,"Cardinal","Fall 2024","Buchanan Hall",5108
79212611,"Cardinal","Fall 2024","Oak Hall",5108
139312257,"Cardinal","Fall 2024","Geoffroy Hall",5108
119502475,"Gold","Fall 2024","Martin Hall",4800
139582485,"Campanile","Fall 2024","Off Campus",3928
159632508,"Cardinal","Fall 2024","Geoffroy Hall",5108
199772532,"Cardinal","Fall 2024","Willow Hall",5108
199872718,"Cardinal","Fall 2024","Oak Hall",5108
109902843,"50 Meal Blocks","Fall 2024","Off Campus",656
139502800,"Cardinal","Fall 2024","Helser Hall",5108
139012946,"Campanile","Fall 2024","Off Campus",3928
229222126,"50 Meal Blocks","Fall 2024","Frederiksen Court",656
229452392,"Cardinal","Fall 2024","Friley Hall",5108
299432389,"Cardinal","Fall 2024","Wallace Hall",5108
289422437,"Cardinal","Fall 2024","Helser Hall",5108
249702621,"Cardinal","Fall 2024","Geoffroy Hall",5108
229922797,"Gold","Fall 2024","Willow Hall",4800
229962816,"Cardinal","Fall 2024","Friley Hall",5108
279092880,"Campanile","Fall 2024","Frederiksen Court",3928
299432864,"Gold","Fall 2024","Eaton Hall",4800
379522013,"Cardinal","Fall 2024","Wilson Hall",5108
309152196,"Cardinal","Fall 2024","Wilson Hall",5108
339292176,"Campanile","Fall 2024","Off Campus",3928
309462250,"Cardinal","Fall 2024","Buchanan Hall",5108
399542254,"Cardinal","Fall 2024","Geoffroy Hall",5108
369502340,"Gold","Fall 2024","Willow Hall",4800
369092959,"Campanile","Fall 2024","Frederiksen Court",3928
409532003,"Cardinal","Fall 2024","Wilson Hall",5108
489192027,"100 Meal Blocks","Fall 2024","Frederiksen Court",1287
469242138,"Cardinal","Fall 2024","Friley Hall",5108
439342236,"25 Meal Blocks","Fall 2024","Off Campus",336
449422394,"Campanile","Fall 2024","Buchanan Hall",3928
499382442,"Cardinal","Fall 2024","Maple Hall",5108
409892564,"Cardinal","Fall 2024","Geoffroy Hall",5108
479312832,"Cardinal","Fall 2024","Willow Hall",5108
439082926,"Gold","Fall 2024","Frederiksen Court",4800
519902069,"Cardinal","Fall 2024","Wilson Hall",5108
529262175,"25 Meal Blocks","Fall 2024","Frederiksen Court",336
539132160,"Cardinal","Fall 2024","Helser Hall",5108
579812145,"Cardinal","Fall 2024","Geoffroy Hall",5108
599132118,"Gold","Fall 2024","Linden Hall",4800
549332228,"Cardinal","Fall 2024","Martin Hall",5108
589422282,"Cardinal","Fall 2024","Helser Hall",5108
529412386,"Gold","Fall 2024","Helser Hall",4800
559422399,"100 Meal Blocks","Fall 2024","Off Campus",1287
539462511,"Gold","Fall 2024","Oak Hall",4800
649352223,"Cardinal","Fall 2024","Friley Hall",5108
639492326,"Campanile","Fall 2024","Frederiksen Court",3928
669712351,"Campanile","Fall 2024","Frederiksen Court",3928
699422318,"50 Meal Blocks","Fall 2024","Frederiksen Court",656
619942462,"Gold","Fall 2024","Martin Hall",4800
629782665,"Cardinal","Fall 2024","Geoffroy Hall",5108
629702676,"Cardinal","Fall 2024","Willow Hall",5108
629052691,"Cardinal","Fall 2024","Maple Hall",5108
659662646,"Cardinal","Fall 2024","Willow Hall",5108
669842759,"Gold","Fall 2024","Linden Hall",4800
679382755,"Cardinal","Fall 2024","Oak Hall",5108
689982761,"Cardinal","Fall 2024","Helser Hall",5108
699992732,"Cardinal","Fall 2024","Friley Hall",5108
799442057,"Cardinal","Fall 2024","Willow Hall",5108
729852103,"Cardinal","Fall 2024","Friley Hall",5108
759342299,"Campanile","Fall 2024","Off Campus",3928
739662556,"Cardinal","Fall 2024","Eaton Hall",5108
709722668,"Campanile","Fall 2024","Wilson Hall",3928
729852621,"Gold","Fall 2024","Larch Hall",4800
769812660,"Campanile","Fall 2024","Wilson Hall",3928
709932796,"Cardinal","Fall 2024","Helser Hall",5108
719832724,"Cardinal","Fall 2024","Larch Hall",5108
739822722,"Cardinal","Fall 2024","Friley Hall",5108
799932781,"Cardinal","Fall 2024","Friley Hall",5108
739952882,"Campanile","Fall 2024","Off Campus",3928
749492861,"Campanile","Fall 2024","Off Campus",3928
749022933,"100 Meal Blocks","Fall 2024","Off Campus",1287
859292158,"Campanile","Fall 2024","Frederiksen Court",3928
849702287,"Cardinal","Fall 2024","Helser Hall",5108
829872483,"Campanile","Fall 2024","Frederiksen Court",3928
889662495,"Cardinal","Fall 2024","Helser Hall",5108
829072560,"Cardinal","Fall 2024","Freeman Hall",5108
899742542,"Cardinal","Fall 2024","Friley Hall",5108
879732608,"100 Meal Blocks","Fall 2024","Off Campus",1287
879922791,"Cardinal","Fall 2024","Geoffroy Hall",5108
889952797,"Cardinal","Fall 2024","Eaton Hall",5108
819102818,"Cardinal","Fall 2024","Oak Hall",5108
899982817,"Gold","Fall 2024","Geoffroy Hall",4800
929272124,"Cardinal","Fall 2024","Willow Hall",5108
969922119,"Campanile","Fall 2024","Wilson Hall",3928
979302209,"Campanile","Fall 2024","Frederiksen Court",3928
989382236,"Cardinal","Fall 2024","Wilson Hall",5108
959592407,"Cardinal","Fall 2024","Friley Hall",5108
969692433,"Cardinal","Fall 2024","Eaton Hall",5108
999732479,"Cardinal","Fall 2024","Birch Hall",5108
929672574,"Campanile","Fall 2024","Off Campus",3928
999992535,"Cardinal","Fall 2024","Linden Hall",5108
949882757,"Cardinal","Fall 2024","Willow Hall",5108
999952888,"Campanile","Fall 2024","Off Campus",3928
979042939,"Gold","Fall 2024","Frederiksen Court",4800
39133062,"Cardinal","Fall 2024","Buchanan Hall",5108
89943011,"Cardinal","Fall 2024","Helser Hall",5108
9673583,"Cardinal","Fall 2024","Welch Hall",5108
29053920,"50 Meal Blocks","Fall 2024","Frederiksen Court",656
69073969,"Campanile","Fall 2024","Off Campus",3928
79393998,"Cardinal","Fall 2024","Wilson Hall",5108
199203083,"Campanile","Fall 2024","Off Campus",3928
179533424,"Cardinal","Fall 2024","Geoffroy Hall",5108
169673569,"Campanile","Fall 2024","Friley Hall",3928
139783653,"Cardinal","Fall 2024","Buchanan Hall",5108
139723662,"Cardinal","Fall 2024","Barton Hall",5108
199803611,"Cardinal","Fall 2024","Larch Hall",5108
199973701,"Cardinal","Fall 2024","Martin Hall",5108
169013938,"100 Meal Blocks","Fall 2024","Off Campus",1287
239953222,"Campanile","Fall 2024","Wilson Hall",3928
219813533,"Cardinal","Fall 2024","Oak Hall",5108
239643521,"25 Meal Blocks","Fall 2024","Off Campus",336
279583555,"Cardinal","Fall 2024","Welch Hall",5108
259713687,"Cardinal","Fall 2024","Maple Hall",5108
239103742,"Gold","Fall 2024","Geoffroy Hall",4800
209853808,"Cardinal","Fall 2024","Friley Hall",5108
229003985,"Cardinal","Fall 2024","Martin Hall",5108
279173945,"Gold","Fall 2024","Frederiksen Court",4800
289183991,"100 Meal Blocks","Fall 2024","Frederiksen Court",1287
349253197,"Campanile","Fall 2024","Off Campus",3928
329793217,"Campanile","Fall 2024","Frederiksen Court",3928
339533492,"Cardinal","Fall 2024","Welch Hall",5108
359563463,"Cardinal","Fall 2024","Friley Hall",5108
389613471,"Campanile","Fall 2024","Frederiksen Court",3928
369423552,"Cardinal","Fall 2024","Friley Hall",5108
309903893,"Campanile","Fall 2024","Off Campus",3928
319843809,"50 Meal Blocks","Fall 2024","Off Campus",656
329083963,"Campanile","Fall 2024","Off Campus",3928
409833064,"Cardinal","Fall 2024","Wilson Hall",5108
429373230,"50 Meal Blocks","Fall 2024","Off Campus",656
499373397,"Cardinal","Fall 2024","Friley Hall",5108
469753565,"Cardinal","Fall 2024","Elm Hall",5108
409363889,"Cardinal","Fall 2024","Elm Hall",5108
449293802,"Cardinal","Fall 2024","Geoffroy Hall",5108
469073849,"Cardinal","Fall 2024","Wilson Hall",5108
499113889,"Campanile","Fall 2024","Wilson Hall",3928
549103006,"Cardinal","Fall 2024","Martin Hall",5108
559253091,"Cardinal","Fall 2024","Wallace Hall",5108
589603095,"Cardinal","Fall 2024","Friley Hall",5108
509283182,"Cardinal","Fall 2024","Friley Hall",5108
519363212,"Cardinal","Fall 2024","Buchanan Hall",5108
509343389,"Cardinal","Fall 2024","Geoffroy Hall",5108
559763605,"Cardinal","Fall 2024","Maple Hall",5108
579313679,"Cardinal","Fall 2024","Friley Hall",5108
589843640,"Cardinal","Fall 2024","Off Campus",5108
599863901,"Cardinal","Fall 2024","Eaton Hall",5108
659503484,"100 Meal Blocks","Fall 2024","Off Campus",1287
619623514,"25 Meal Blocks","Fall 2024","Off Campus",336
689083519,"Cardinal","Fall 2024","Willow Hall",5108
699273638,"Cardinal","Fall 2024","Helser Hall",5108
609223867,"Cardinal","Fall 2024","Geoffroy Hall",5108
679083989,"Campanile","Fall 2024","Roberts Hall",3928
689573982,"Cardinal","Fall 2024","Buchanan Hall",5108
739563034,"Cardinal","Fall 2024","Maple Hall",5108
749263162,"Cardinal","Fall 2024","Geoffroy Hall",5108
759183193,"Cardinal","Fall 2024","Eaton Hall",5108
719243277,"Cardinal","Fall 2024","Helser Hall",5108
739333271,"Cardinal","Fall 2024","Friley Hall",5108
769023300,"Cardinal","Fall 2024","Larch Hall",5108
779573488,"Campanile","Fall 2024","Frederiksen Court",3928
719733653,"Cardinal","Fall 2024","Eaton Hall",5108
729713610,"50 Meal Blocks","Fall 2024","Off Campus",656
769513827,"Cardinal","Fall 2024","Elm Hall",5108
729673937,"Cardinal","Fall 2024","Oak Hall",5108
879153017,"Cardinal","Fall 2024","Geoffroy Hall",5108
869213158,"Cardinal","Fall 2024","Maple Hall",5108
839303283,"Cardinal","Fall 2024","Off Campus",5108
829413333,"Campanile","Fall 2024","Frederiksen Court",3928
899473335,"Cardinal","Fall 2024","Roberts Hall",5108
839723599,"Campanile","Fall 2024","Off Campus",3928
819713674,"Cardinal","Fall 2024","Willow Hall",5108
829443604,"Campanile","Fall 2024","Off Campus",3928
849933788,"Cardinal","Fall 2024","Friley Hall",5108
879633739,"Cardinal","Fall 2024","Elm Hall",5108
899953720,"Cardinal","Fall 2024","Wallace Hall",5108
989293090,"Cardinal","Fall 2024","Helser Hall",5108
909293101,"Cardinal","Fall 2024","Eaton Hall",5108
919263119,"Gold","Fall 2024","Helser Hall",4800
969243133,"100 Meal Blocks","Fall 2024","Off Campus",1287
979383259,"Cardinal","Fall 2024","Willow Hall",5108
999473326,"Cardinal","Fall 2024","Lyon Hall",5108
939983895,"Cardinal","Fall 2024","Helser Hall",5108
69444328,"Cardinal","Fall 2024","Friley Hall",5108
19854752,"50 Meal Blocks","Fall 2024","Frederiksen Court",656
129174092,"Cardinal","Fall 2024","Larch Hall",5108
139194041,"Campanile","Fall 2024","Frederiksen Court",3928
139144096,"Cardinal","Fall 2024","Willow Hall",5108
169124018,"50 Meal Blocks","Fall 2024","Off Campus",656
179574087,"Cardinal","Fall 2024","Larch Hall",5108
179204090,"Cardinal","Fall 2024","Wilson Hall",5108
129304285,"100 Meal Blocks","Fall 2024","Frederiksen Court",1287
169374213,"50 Meal Blocks","Fall 2024","Off Campus",656
159444393,"25 Meal Blocks","Fall 2024","Off Campus",336
159624525,"Cardinal","Fall 2024","Maple Hall",5108
159744702,"Cardinal","Fall 2024","Barton Hall",5108
109094992,"Cardinal","Fall 2024","Friley Hall",5108
209564073,"25 Meal Blocks","Fall 2024","Frederiksen Court",336
299294414,"Cardinal","Fall 2024","Geoffroy Hall",5108
289234753,"Cardinal","Fall 2024","Linden Hall",5108
259964882,"Cardinal","Fall 2024","Linden Hall",5108
299354896,"Gold","Fall 2024","Buchanan Hall",4800
279094948,"100 Meal Blocks","Fall 2024","Wilson Hall",1287
349024039,"Cardinal","Fall 2024","Geoffroy Hall",5108
319354209,"Cardinal","Fall 2024","Frederiksen Court",5108
369354203,"Campanile","Fall 2024","Frederiksen Court",3928
389764223,"Campanile","Fall 2024","Frederiksen Court",3928
319484322,"Cardinal","Fall 2024","Eaton Hall",5108
389204430,"Cardinal","Fall 2024","Willow Hall",5108
339624525,"25 Meal Blocks","Fall 2024","Off Campus",336
339694544,"Gold","Fall 2024","Welch Hall",4800
339474557,"25 Meal Blocks","Fall 2024","Off Campus",336
349354600,"Cardinal","Fall 2024","Larch Hall",5108
309744798,"Gold","Fall 2024","Linden Hall",4800
319904883,"Cardinal","Fall 2024","Roberts Hall",5108
329874839,"100 Meal Blocks","Fall 2024","Off Campus",1287
399024871,"Campanile","Fall 2024","Martin Hall",3928
329184983,"Cardinal","Fall 2024","Willow Hall",5108
349074935,"Cardinal","Fall 2024","Larch Hall",5108
429184094,"Cardinal","Fall 2024","Birch Hall",5108
499104077,"25 Meal Blocks","Fall 2024","Off Campus",336
429814197,"Cardinal","Fall 2024","Roberts Hall",5108
439384234,"Cardinal","Fall 2024","Eaton Hall",5108
469494357,"Cardinal","Fall 2024","Geoffroy Hall",5108
459524456,"Campanile","Fall 2024","Buchanan Hall",3928
489584409,"50 Meal Blocks","Fall 2024","Off Campus",656
409534598,"Cardinal","Fall 2024","Geoffroy Hall",5108
449614536,"Cardinal","Fall 2024","Buchanan Hall",5108
499634506,"Cardinal","Fall 2024","Frederiksen Court",5108
449504713,"Cardinal","Fall 2024","Off Campus",5108
459964826,"Campanile","Fall 2024","Off Campus",3928
459964862,"Campanile","Fall 2024","Off Campus",3928
479024824,"Cardinal","Fall 2024","Geoffroy Hall",5108
439084920,"Campanile","Fall 2024","Off Campus",3928
529114084,"Cardinal","Fall 2024","Larch Hall",5108
519274182,"Cardinal","Fall 2024","Buchanan Hall",5108
529254144,"25 Meal Blocks","Fall 2024","Off Campus",336
549534405,"Cardinal","Fall 2024","Larch Hall",5108
539824724,"Campanile","Fall 2024","Frederiksen Court",3928
579864749,"Cardinal","Fall 2024","Helser Hall",5108
539254883,"Cardinal","Fall 2024","Wallace Hall",5108
669184046,"Campanile","Fall 2024","Off Campus",3928
679254168,"Campanile","Fall 2024","Frederiksen Court",3928
629444382,"Campanile","Fall 2024","Off Campus",3928
629714567,"Gold","Fall 2024","Off Campus",4800
609994821,"Gold","Fall 2024","Larch Hall",4800
689344846,"Cardinal","Fall 2024","Larch Hall",5108
699934849,"Campanile","Fall 2024","Frederiksen Court",3928
749104046,"Campanile","Fall 2024","University Village",3928
799304030,"Campanile","Fall 2024","Frederiksen Court",3928
789414309,"Cardinal","Fall 2024","Maple Hall",5108
789904420,"Cardinal","Fall 2024","Geoffroy Hall",5108
779254635,"Cardinal","Fall 2024","Helser Hall",5108
779734674,"Cardinal","Fall 2024","Wilson Hall",5108
719534794,"Cardinal","Fall 2024","Oak Hall",5108
759994886,"Campanile","Fall 2024","Frederiksen Court",3928
729004994,"Cardinal","Fall 2024","Larch Hall",5108
789064969,"Cardinal","Fall 2024","Martin Hall",5108
829134062,"Cardinal","Fall 2024","Welch Hall",5108
899394279,"Cardinal","Fall 2024","Buchanan Hall",5108
839504404,"Cardinal","Fall 2024","Maple Hall",5108
809124568,"Campanile","Fall 2024","Linden Hall",3928
859614516,"Cardinal","Fall 2024","Off Campus",5108
829674694,"Cardinal","Fall 2024","Linden Hall",5108
869804695,"Cardinal","Fall 2024","Barton Hall",5108
839884733,"25 Meal Blocks","Fall 2024","Off Campus",336
839654880,"100 Meal Blocks","Fall 2024","Off Campus",1287
839694891,"Cardinal","Fall 2024","Geoffroy Hall",5108
859084916,"Cardinal","Fall 2024","Willow Hall",5108
969354273,"Cardinal","Fall 2024","Eaton Hall",5108
989394204,"25 Meal Blocks","Fall 2024","Frederiksen Court",336
999904392,"Gold","Fall 2024","Wallace Hall",4800
929914434,"Cardinal","Fall 2024","Helser Hall",5108
939564424,"Cardinal","Fall 2024","Friley Hall",5108
959524405,"100 Meal Blocks","Fall 2024","Off Campus",1287
999614441,"Campanile","Fall 2024","Frederiksen Court",3928
939424575,"Gold","Fall 2024","Geoffroy Hall",4800
959634597,"Cardinal","Fall 2024","Geoffroy Hall",5108
969604506,"Campanile","Fall 2024","Off Campus",3928
939704675,"100 Meal Blocks","Fall 2024","Off Campus",1287
959714632,"50 Meal Blocks","Fall 2024","Off Campus",656
949234794,"Cardinal","Fall 2024","Buchanan Hall",5108
939944812,"Campanile","Fall 2024","Off Campus",3928
949954855,"Gold","Fall 2024","Helser Hall",4800
979334861,"Cardinal","Fall 2024","Larch Hall",5108
999094860,"Cardinal","Fall 2024","Geoffroy Hall",5108
959534908,"Campanile","Fall 2024","Frederiksen Court",3928
969704929,"Cardinal","Fall 2024","Wallace Hall",5108
979014987,"Cardinal","Fall 2024","Linden Hall",5108
999104981,"Gold","Fall 2024","Geoffroy Hall",4800
19125021,"Cardinal","Fall 2024","Friley Hall",5108
