"ID","Meal.Plan.Description","Term.Session.Description","Room.Location.Description","Price.Year"
760511400,"Cardinal","Fall 2024","Friley Hall",5108
790601533,"Cardinal","Fall 2024","Geoffroy Hall",5108
700811875,"Cardinal","Fall 2024","Buchanan Hall",5108
820041016,"Cardinal","Fall 2024","Geoffroy Hall",5108
820071084,"Cardinal","Fall 2024","Wallace Hall",5108
890471343,"Cardinal","Fall 2024","Geoffroy Hall",5108
800611645,"25 Meal Blocks","Fall 2024","University Village",336
810621675,"Gold","Fall 2024","Buchanan Hall",4800
900741157,"Cardinal","Fall 2024","Friley Hall",5108
930521537,"50 Meal Blocks","Fall 2024","Off Campus",656
950611679,"Campanile","Fall 2024","Buchanan Hall",3928
910791767,"Campanile","Fall 2024","Off Campus",3928
970891710,"Campanile","Fall 2024","Off Campus",3928
980811793,"Gold","Fall 2024","Elm Hall",4800
970981959,"Cardinal","Fall 2024","Frederiksen Court",5108
270492486,"100 Meal Blocks","Fall 2024","Off Campus",1287
480912882,"Cardinal","Fall 2024","Eaton Hall",5108
530112147,"Cardinal","Fall 2024","Willow Hall",5108
500342384,"100 Meal Blocks","Fall 2024","Frederiksen Court",1287
540352358,"Campanile","Fall 2024","Frederiksen Court",3928
580542472,"Cardinal","Fall 2024","Martin Hall",5108
680152065,"Cardinal","Fall 2024","Maple Hall",5108
630112197,"Cardinal","Fall 2024","Martin Hall",5108
610352344,"Cardinal","Fall 2024","Willow Hall",5108
670682689,"Campanile","Fall 2024","Off Campus",3928
680712788,"Cardinal","Fall 2024","Martin Hall",5108
630972987,"Gold","Fall 2024","Martin Hall",4800
760792775,"Campanile","Fall 2024","Off Campus",3928
720882822,"Cardinal","Fall 2024","Linden Hall",5108
720992985,"Cardinal","Fall 2024","Geoffroy Hall",5108
800222273,"Cardinal","Fall 2024","Friley Hall",5108
850322336,"Campanile","Fall 2024","Off Campus",3928
860392308,"Cardinal","Fall 2024","Friley Hall",5108
800442441,"Gold","Fall 2024","Friley Hall",4800
800442443,"50 Meal Blocks","Fall 2024","Off Campus",656
810572590,"50 Meal Blocks","Fall 2024","Off Campus",656
830032530,"Cardinal","Fall 2024","Off Campus",5108
800562689,"Cardinal","Fall 2024","Willow Hall",5108
810662603,"Cardinal","Fall 2024","Off Campus",5108
800882822,"Cardinal","Fall 2024","Wilson Hall",5108
840802807,"Gold","Fall 2024","Friley Hall",4800
810972984,"Campanile","Fall 2024","Frederiksen Court",3928
820942955,"50 Meal Blocks","Fall 2024","Off Campus",656
850932948,"Cardinal","Fall 2024","Maple Hall",5108
850952968,"Cardinal","Fall 2024","Maple Hall",5108
870062970,"Campanile","Fall 2024","Frederiksen Court",3928
890002983,"Gold","Fall 2024","Geoffroy Hall",4800
920042065,"100 Meal Blocks","Fall 2024","University Village",1287
930022067,"Cardinal","Fall 2024","Friley Hall",5108
950052006,"50 Meal Blocks","Fall 2024","Off Campus",656
960002029,"100 Meal Blocks","Fall 2024","Off Campus",1287
970152060,"Cardinal","Fall 2024","Wilson Hall",5108
940152116,"Cardinal","Fall 2024","Frederiksen Court",5108
960692608,"Cardinal","Fall 2024","Maple Hall",5108
960622649,"Gold","Fall 2024","Willow Hall",4800
980712646,"Cardinal","Fall 2024","Helser Hall",5108
900792763,"50 Meal Blocks","Fall 2024","Off Campus",656
920742755,"Cardinal","Fall 2024","Maple Hall",5108
950752728,"Cardinal","Fall 2024","Frederiksen Court",5108
950842750,"Cardinal","Fall 2024","Welch Hall",5108
960812790,"Cardinal","Fall 2024","Eaton Hall",5108
980842721,"100 Meal Blocks","Fall 2024","Off Campus",1287
920912965,"Gold","Fall 2024","Frederiksen Court",4800
930992966,"100 Meal Blocks","Fall 2024","University Village",1287
950952997,"Cardinal","Fall 2024","Eaton Hall",5108
970012940,"Cardinal","Fall 2024","Willow Hall",5108
50073068,"25 Meal Blocks","Fall 2024","Off Campus",336
60063057,"Cardinal","Fall 2024","Willow Hall",5108
40143176,"Campanile","Fall 2024","Frederiksen Court",3928
50193108,"Cardinal","Fall 2024","Larch Hall",5108
60593196,"Cardinal","Fall 2024","Geoffroy Hall",5108
50223258,"Cardinal","Fall 2024","Helser Hall",5108
10523348,"Campanile","Fall 2024","Off Campus",3928
10733392,"Cardinal","Fall 2024","Martin Hall",5108
40423446,"Campanile","Fall 2024","Frederiksen Court",3928
90623512,"100 Meal Blocks","Fall 2024","Frederiksen Court",1287
90683572,"Cardinal","Fall 2024","Off Campus",5108
783712,"Cardinal","Fall 2024","Friley Hall",5108
80043901,"Campanile","Fall 2024","Freeman Hall",3928
130083065,"50 Meal Blocks","Fall 2024","Off Campus",656
110123124,"Cardinal","Fall 2024","Martin Hall",5108
140833857,"Cardinal","Fall 2024","Friley Hall",5108
200123154,"Cardinal","Fall 2024","Friley Hall",5108
240153142,"Cardinal","Fall 2024","Friley Hall",5108
270053189,"Cardinal","Fall 2024","Barton Hall",5108
260293224,"Cardinal","Fall 2024","Friley Hall",5108
270223286,"Gold","Fall 2024","Eaton Hall",4800
220463450,"Cardinal","Fall 2024","Wilson Hall",5108
220403455,"Campanile","Fall 2024","Frederiksen Court",3928
250403458,"Gold","Fall 2024","Off Campus",4800
290723533,"Campanile","Fall 2024","Off Campus",3928
230863855,"Campanile","Fall 2024","Helser Hall",3928
210993933,"Cardinal","Fall 2024","Helser Hall",5108
330053034,"25 Meal Blocks","Fall 2024","Off Campus",336
340113148,"Campanile","Fall 2024","Frederiksen Court",3928
390293191,"Cardinal","Fall 2024","Geoffroy Hall",5108
370563480,"Campanile","Fall 2024","Off Campus",3928
310503564,"Cardinal","Fall 2024","Friley Hall",5108
390023992,"Cardinal","Fall 2024","Maple Hall",5108
490023970,"Gold","Fall 2024","Wilson Hall",4800
530143141,"Cardinal","Fall 2024","Helser Hall",5108
510403450,"Cardinal","Fall 2024","Frederiksen Court",5108
590533527,"Campanile","Fall 2024","Frederiksen Court",3928
520723765,"Campanile","Fall 2024","Geoffroy Hall",3928
590893771,"Cardinal","Fall 2024","Friley Hall",5108
540803875,"Cardinal","Fall 2024","Helser Hall",5108
560933987,"25 Meal Blocks","Fall 2024","Frederiksen Court",336
680063039,"Cardinal","Fall 2024","Frederiksen Court",5108
660193194,"100 Meal Blocks","Fall 2024","Off Campus",1287
610613694,"Cardinal","Fall 2024","Helser Hall",5108
690783671,"50 Meal Blocks","Fall 2024","Off Campus",656
640793715,"Cardinal","Fall 2024","Friley Hall",5108
640803826,"Cardinal","Fall 2024","Willow Hall",5108
620903995,"Cardinal","Fall 2024","Eaton Hall",5108
650943943,"Cardinal","Fall 2024","Helser Hall",5108
720023085,"Gold","Fall 2024","Larch Hall",4800
770023035,"Cardinal","Fall 2024","Linden Hall",5108
770023065,"Gold","Fall 2024","Maple Hall",4800
720183174,"Gold","Fall 2024","Helser Hall",4800
760263274,"25 Meal Blocks","Fall 2024","Off Campus",336
790383200,"Cardinal","Fall 2024","Friley Hall",5108
730593503,"Cardinal","Fall 2024","Frederiksen Court",5108
780663560,"Campanile","Fall 2024","Frederiksen Court",3928
800143112,"Campanile","Fall 2024","Frederiksen Court",3928
830853815,"Cardinal","Fall 2024","Wilson Hall",5108
880113862,"Cardinal","Fall 2024","Friley Hall",5108
820923940,"Campanile","Fall 2024","University Village",3928
930033045,"Campanile","Fall 2024","Frederiksen Court",3928
920383394,"Cardinal","Fall 2024","Larch Hall",5108
990323327,"100 Meal Blocks","Fall 2024","Off Campus",1287
