"ID","Meal Plan Description","Term Session Description","Entry Status Description","Room Location Description"
"210811801","Bronze","Spring 2023","History","Off Campus"
"200901913","Bronze","Spring 2023","In Room","Martin Hall"
"280151924","Bronze","Spring Only 2023","In Room","Frederiksen Court 74"
"330141153","Cyclone","Spring 2023","In Room","Friley Hall"
"320231287","Cardinal","Spring 2023","In Room","Barton Hall"
"350351270","Cardinal","Spring 2023","In Room","Eaton Hall"
"330421406","25 Flex Block","Spring 2023","History","Off Campus"
"390691564","Gold","Spring 2023","In Room","Friley Hall"
"300491865","Cardinal","Spring 2023","In Room","Elm Hall"
"380841858","Cardinal","Spring 2023","In Room","Helser Hall"
"390961853","Silver","Spring 2023","In Room","Frederiksen Court 33"
"430221213","50 Flex Block","Spring 2023","History","Off Campus"
"430301253","Cardinal","Spring 2023","In Room","Larch Hall"
"440271248","Gold","Spring 2023","In Room","Maple Hall"
"470381237","Cardinal","Spring 2023","In Room","Buchanan Hall"
"430401474","Cardinal","Spring 2023","In Room","Welch Hall"
"430591527","Gold","Spring 2023","In Room","Martin Hall"
"490721684","105 Flex Block","Spring 2023","In Room","Frederiksen Court 35"
"440751774","Cardinal","Spring 2023","In Room","Helser Hall"
"440991987","Cardinal","Spring 2023","In Room","Geoffroy Hall"
"510321395","85 Flex Block","Spring 2023","Application","Off Campus"
"530681667","Cardinal","Spring 2023","In Room","Linden Hall"
"550801780","Gold","Spring 2023","In Room","Lyon Hall"
"540831818","Cyclone","Spring 2023","In Room","Helser Hall"
"540941989","Cardinal","Spring 2023","In Room","Welch Hall"
"630181132","Cardinal","Spring 2023","In Room","Larch Hall"
"660211190","85 Flex Block","Spring 2023","History","Off Campus"
"640301378","Cardinal","Spring 2023","In Room","Helser Hall"
"630451483","Cardinal","Spring 2023","In Room","Maple Hall"
"640401499","Cardinal","Spring 2023","In Room","Willow Hall"
"610761744","Gold","Spring 2023","In Room","Frederiksen Court 51"
"680841732","Cardinal","Spring 2023","In Room","Welch Hall"
"600991864","Gold","Spring 2023","In Room","Buchanan Hall"
"680921949","Bronze","Spring 2023","Application","Off Campus"
"740611128","Gold","Spring 2023","In Room","Friley Hall"
"740221279","Gold","Spring 2023","In Room","Eaton Hall"
"710351354","Cardinal","Spring 2023","In Room","Friley Hall"
"720501458","Cardinal","Spring 2023","In Room","Helser Hall"
"730571556","Cardinal","Spring 2023","In Room","Larch Hall"
"790771521","Gold","Spring 2023","In Room","Geoffroy Hall"
"700811875","Cardinal","Spring 2023","In Room","Friley Hall"
"830151167","Cardinal","Spring 2023","In Room","Friley Hall"
"840201207","Cardinal","Spring 2023","In Room","Helser Hall"
"800361334","Gold","Spring 2023","In Room","Eaton Hall"
"880521483","Cardinal","Spring 2023","In Room","Elm Hall"
"800551560","Bronze","Spring 2023","Application","Off Campus"
"800611645","Gold","Spring 2023","In Room","Helser Hall"
"880961822","Cardinal","Spring 2023","In Room","Helser Hall"
"950031099","Cyclone","Spring 2023","In Room","Willow Hall"
"980231110","Cardinal","Spring 2023","In Room","Maple Hall"
"940291297","Gold","Spring 2023","In Room","Friley Hall"
"900571544","Cardinal","Spring 2023","In Room","Birch Hall"
"910571534","Gold","Spring 2023","In Room","Willow Hall"
"960961731","Gold","Spring 2023","In Room","Buchanan Hall"
"970981959","Cardinal","Spring 2023","In Room","Helser Hall"
"980651939","Gold","Spring 2023","In Room","Welch Hall"
"210192160","Cyclone","Spring 2023","In Room","Eaton Hall"
"370362659","Gold","Spring 2023","In Room","Willow Hall"
"540012098","Gold","Spring 2023","In Room","Friley Hall"
"550132179","Cardinal","Spring 2023","Cancelled","Off Campus"
"550362388","Cardinal","Spring 2023","In Room","Larch Hall"
"590392317","Gold","Spring 2023","In Room","Helser Hall"
"510492413","Cardinal","Spring 2023","In Room","Helser Hall"
"530482416","Cardinal","Spring 2023","In Room","Friley Hall"
"560502596","CA Plan","Spring 2023","In Room","Buchanan Hall"
"510652610","Gold","Spring 2023","In Room","Larch Hall"
"570972880","Gold","Spring 2023","In Room","Willow Hall"
"510912900","Gold","Spring 2023","In Room","Roberts Hall"
"560982958","Bronze","Spring 2023","In Room","Barton Hall"
"600282389","Cardinal","Spring 2023","In Room","Oak Hall"
"610392363","Cyclone","Spring 2023","In Room","Geoffroy Hall"
"690432311","25 Flex Block","Spring 2023","History","Off Campus"
"630672662","Cardinal","Spring 2023","In Room","Larch Hall"
"670682689","Cardinal","Spring 2023","In Room","Martin Hall"
"610882815","85 Flex Block","Spring 2023","In Room","Frederiksen Court 22"
"600992972","Gold","Spring 2023","In Room","Geoffroy Hall"
"620902995","Bronze","Spring 2023","History","Off Campus"
"730082061","Gold","Spring 2023","In Room","Elm Hall"
"710112103","Gold","Spring 2023","In Room","Willow Hall"
"720272275","Cardinal","Spring 2023","In Room","Willow Hall"
"770322270","25 Flex Block","Spring 2023","History","Off Campus"
"740672688","Cardinal","Spring 2023","In Room","Maple Hall"
"760752725","25 Flex Block","Spring 2023","In Room","Frederiksen Court 33"
"760792775","Bronze","Spring 2023","History","Off Campus"
"740702885","Silver","Spring 2023","History","Off Campus"
"790922938","Bronze","Spring 2023","In Room","Frederiksen Court 35"
"850022097","Gold","Spring 2023","In Room","Elm Hall"
"830192174","Gold","Spring 2023","In Room","Martin Hall"
"890282182","Cardinal","Spring 2023","In Room","Martin Hall"
"800222273","Cardinal","Spring 2023","In Room","Helser Hall"
"860262258","Cardinal","Spring 2023","In Room","Geoffroy Hall"
"800442443","Gold","Spring 2023","In Room","Barton Hall"
"830522512","Gold","Spring 2023","In Room","Larch Hall"
"830032530","Cyclone","Spring 2023","In Room","Roberts Hall"
"840582597","Cardinal","Spring 2023","In Room","Eaton Hall"
"850562578","Cardinal","Spring 2023","In Room","Friley Hall"
"810662603","Cyclone","Spring 2023","In Room","Geoffroy Hall"
"870722630","Cyclone","Spring 2023","In Room","Buchanan Hall"
"850732708","Cardinal","Spring 2023","In Room","Welch Hall"
"860772728","Cardinal","Spring 2023","In Room","Maple Hall"
"890812712","Cardinal","Spring 2023","In Room","Welch Hall"
"890862772","Cardinal","Spring 2023","In Room","Willow Hall"
"800892863","Cardinal","Spring 2023","In Room","Welch Hall"
"810852870","Cardinal","Spring 2023","In Room","Wallace Hall"
"820942955","Cardinal","Spring 2023","In Room","Birch Hall"
"920042065","Cardinal","Spring 2023","In Room","Lyon Hall"
"960022025","25 Flex Block","Spring 2023","History","Off Campus"
"990292090","Cardinal","Spring 2023","In Room","Larch Hall"
"900272369","25 Flex Block","Spring 2023","Application","Off Campus"
"920462464","Gold","Spring 2023","In Room","Willow Hall"
"970512420","Gold","Spring 2023","In Room","Larch Hall"
"970602531","Gold","Spring 2023","In Room","Welch Hall"
"910702730","Gold","Spring 2023","In Room","Helser Hall"
"910722740","Cardinal","Spring 2023","In Room","Friley Hall"
"980862792","Cardinal","Spring 2023","In Room","Willow Hall"
"920822845","Gold","Spring 2023","In Room","Helser Hall"
"920912965","Cardinal","Spring 2023","In Room","Geoffroy Hall"
"930952966","Cardinal","Spring Only 2023","In Room","Frederiksen Court 21"
"050073068","Cyclone","Spring 2023","In Room","Eaton Hall"
"070073009","Cardinal","Spring 2023","In Room","Linden Hall"
"090173095","50 Flex Block","Spring 2023","In Room","University Village 173"
"040143176","25 Flex Block","Spring 2023","History","Off Campus"
"050263280","Cardinal","Spring 2023","In Room","Lyon Hall"
"010733392","Cardinal","Spring 2023","In Room","Larch Hall"
"030493492","Bronze","Spring 2023","In Room","Frederiksen Court 33"
"040423446","Bronze","Spring Only 2023","In Room","Frederiksen Court 34"
"040473497","Cardinal","Spring 2023","In Room","Maple Hall"
"030603666","Cyclone","Spring 2023","In Room","Willow Hall"
"130083065","Cardinal","Spring 2023","In Room","Linden Hall"
"180183020","Gold","Spring 2023","In Room","Willow Hall"
"160183107","Cardinal","Spring 2023","In Room","Helser Hall"
"190513280","Gold","Spring 2023","In Room","Birch Hall"
"120373375","Gold","Spring 2023","In Room","Geoffroy Hall"
"140473416","Cardinal","Spring 2023","In Room","Buchanan Hall"
"170433486","25 Flex Block","Spring 2023","History","Off Campus"
"190573588","Cardinal","Spring 2023","In Room","Birch Hall"
"120183815","Cardinal","Spring 2023","In Room","Oak Hall"
"190933832","Gold","Spring 2023","In Room","Geoffroy Hall"
"150913947","Bronze","Spring 2023","In Room","Willow Hall"
"180013961","Cardinal","Spring 2023","In Room","Larch Hall"
"280103167","85 Flex Block","Spring 2023","In Room","Frederiksen Court 82"
"200203203","Cardinal","Spring 2023","In Room","Helser Hall"
"260293224","Cardinal","Spring 2023","In Room","Helser Hall"
"220403455","Cardinal","Spring 2023","In Room","Geoffroy Hall"
"200853958","Cardinal","Spring 2023","In Room","Geoffroy Hall"
"310993059","85 Flex Block","Spring 2023","Reserved","Off Campus"
"390413448","Cardinal","Spring 2023","In Room","Geoffroy Hall"
"300723792","85 Flex Block","Spring 2023","In Room","University Village 137"
"390973721","Cardinal","Spring 2023","In Room","Geoffroy Hall"
"320903955","Cardinal","Spring 2023","In Room","Lyon Hall"
"380043971","Cardinal","Spring 2023","In Room","Linden Hall"
"410023043","Cardinal","Spring 2023","In Room","Maple Hall"
"410093179","50 Flex Block","Spring 2023","In Room","Frederiksen Court 24"
"450183115","Gold","Spring 2023","In Room","Eaton Hall"
"470143188","85 Flex Block","Spring 2023","History","Off Campus"
"430233234","Cardinal","Spring 2023","In Room","Maple Hall"
"480393250","Gold","Spring 2023","In Room","Friley Hall"
"480503471","Cardinal","Spring 2023","In Room","Elm Hall"
"470893740","Cardinal","Spring 2023","In Room","Welch Hall"
"500993078","Cardinal","Spring 2023","In Room","Geoffroy Hall"
"560053028","Gold","Spring 2023","In Room","Buchanan Hall"
"590173085","Cardinal","Spring 2023","In Room","Geoffroy Hall"
"530143141","Cardinal","Spring 2023","In Room","Helser Hall"
"540203215","Bronze","Spring 2023","In Room","Frederiksen Court 35"
"570363339","Cardinal","Spring 2023","In Room","Friley Hall"
"520633604","Bronze","Spring 2023","History","Off Campus"
"590743651","Cardinal","Spring 2023","In Room","Helser Hall"
"550973967","Cardinal","Spring 2023","In Room","Maple Hall"
"560933987","Cardinal","Spring 2023","In Room","Friley Hall"
"640283282","Cardinal","Spring 2023","In Room","Friley Hall"
"600383361","Cardinal","Spring 2023","In Room","Maple Hall"
"630643696","Cardinal","Spring 2023","In Room","Larch Hall"
"660673687","Cardinal","Spring 2023","In Room","Elm Hall"
"630743735","Cardinal","Spring 2023","In Room","Elm Hall"
"690933937","Gold","Spring 2023","In Room","Roberts Hall"
"770213134","Bronze","Spring 2023","In Room","Frederiksen Court 61"
"790243181","Cardinal","Spring 2023","In Room","Helser Hall"
"760263274","Gold","Spring 2023","In Room","Friley Hall"
"730483491","Gold","Spring 2023","In Room","Willow Hall"
"730583524","Cardinal","Spring 2023","In Room","Geoffroy Hall"
"730543581","CA Plan","Spring 2023","In Room","Friley Hall"
"820223274","Gold","Spring 2023","In Room","Friley Hall"
"830673664","Gold","Spring 2023","In Room","Maple Hall"
"880783680","Gold","Spring 2023","In Room","Maple Hall"
"990323327","Gold","Spring 2023","In Room","Friley Hall"
"920493413","Bronze","Spring 2023","In Room","Linden Hall"
"930713745","CA Plan","Spring 2023","In Room","Eaton Hall"
