"ID","Meal Plan Description","Term Session Description","Entry Status Description","Room Location Description"
"110030032","Bronze","Fall 2022","History","Off Campus"
"120030036","Gold","Fall 2022","In Room","Geoffroy Hall"
"130080026","Cardinal","Fall 2022","In Room","Helser Hall"
"130050056","Cardinal","Fall 2022","In Room","Friley Hall"
"140030057","Cardinal","Fall 2022","In Room","Friley Hall"
"150010046","Gold","Fall 2022","In Room","Eaton Hall"
"150090099","Gold","Fall 2022","In Room","Wallace Hall"
"160050079","85 Flex Block","Fall 2022","Application","Off Campus"
"180100094","105 Flex Block","Fall 2022","History","Off Campus"
"100130161","Bronze","Fall 2022","In Room","Frederiksen Court 24"
"110170194","25 Flex Block","Fall 2022","History","Off Campus"
"130100199","85 Flex Block","Fall 2022","History","Off Campus"
"140150175","Gold","Fall 2022","In Room","Welch Hall"
"150170105","50 Flex Block","Fall 2022","History","Off Campus"
"150300291","Cardinal","Fall 2022","In Room","Friley Hall"
"120460426","Gold","Fall 2022","In Room","Roberts Hall"
"120570563","RA Plan","Fall 2022","In Room","Larch Hall"
"150620580","Cyclone","Fall 2022","In Room","Geoffroy Hall"
"160020573","Cardinal","Fall 2022","In Room","Eaton Hall"
"180630502","85 Flex Block","Fall 2022","History","Off Campus"
"190750680","Cardinal","Fall 2022","In Room","Helser Hall"
"110790721","Cardinal","Fall 2022","In Room","Friley Hall"
"150840809","Cardinal","Fall 2022","In Room","Buchanan Hall"
"160860868","Cardinal","Fall 2022","In Room","Barton Hall"
"130950956","Cardinal","Fall 2022","In Room","Birch Hall"
"200040082","Gold","Fall 2022","In Room","Frederiksen Court 82"
"240030018","Bronze","Fall 2022","History","Off Campus"
"230150188","Cardinal","Fall 2022","In Room","Maple Hall"
"270080900","Cardinal","Fall 2022","In Room","Frederiksen Court 21"
"350110080","Gold","Fall 2022","In Room","Friley Hall"
"380120084","Cardinal","Fall 2022","In Room","Eaton Hall"
"380110090","Cardinal","Fall 2022","In Room","Helser Hall"
"320290213","Silver","Fall 2022","In Room","Frederiksen Court 11"
"390380223","Cardinal","Fall 2022","In Room","Helser Hall"
"340600609","Cardinal","Fall 2022","In Room","Willow Hall"
"320710757","Cardinal","Fall 2022","In Room","Willow Hall"
"330710769","CyFlex","Fall 2022","In Room","Willow Hall"
"340700776","Gold","Fall 2022","History","Off Campus"
"350800715","Silver","Fall 2022","Cancelled","Off Campus"
"320990986","Bronze","Fall 2022","History","Off Campus"
"330940914","Cardinal","Fall 2022","In Room","Geoffroy Hall"
"390060953","Gold","Fall 2022","In Room","Friley Hall"
"430130135","105 Flex Block","Fall 2022","History","Off Campus"
"450200120","Cardinal","Fall 2022","In Room","Friley Hall"
"460240288","Cardinal","Fall 2022","In Room","Friley Hall"
"420420476","85 Flex Block","Fall 2022","In Room","University Village 158"
"450500420","Gold","Fall 2022","In Room","Martin Hall"
"470450429","105 Flex Block","Fall 2022","In Room","Frederiksen Court 24"
"430570527","Cardinal","Fall 2022","In Room","Birch Hall"
"440560569","Gold","Fall 2022","In Room","Geoffroy Hall"
"480690550","105 Flex Block","Fall 2022","History","Off Campus"
"490730600","Cardinal","Fall 2022","In Room","Willow Hall"
"460980801","Cardinal","Fall 2022","In Room","Geoffroy Hall"
"510170179","Silver","Fall 2022","In Room","Frederiksen Court 51"
"540330325","Cardinal","Fall 2022","In Room","Buchanan Hall"
"570420392","Cardinal","Fall 2022","Reserved","Frederiksen Court 33"
"500540575","Cardinal","Fall 2022","History","Off Campus"
"510650687","Cardinal","Fall 2022","In Room","Lyon Hall"
"670130107","Cardinal","Fall 2022","In Room","Friley Hall"
"610270272","85 Flex Block","Fall 2022","History","Off Campus"
"600500545","Silver","Fall 2022","In Room","Frederiksen Court 52"
"630580584","Cardinal","Fall 2022","In Room","Martin Hall"
"670670562","Gold","Fall 2022","In Room","Geoffroy Hall"
"690600500","Silver","Fall 2022","In Room","University Village 167"
"620860863","Cardinal","Fall 2022","In Room","Geoffroy Hall"
"670020951","50 Flex Block","Fall 2022","History","Off Campus"
"770060068","Silver","Fall 2022","In Room","Frederiksen Court 33"
"720100197","Bronze","Fall 2022","In Room","Frederiksen Court 82"
"710280252","Bronze","Fall 2022","In Room","Frederiksen Court 51"
"780460331","Cardinal","Fall 2022","In Room","Geoffroy Hall"
"720450447","Cardinal","Fall 2022","In Room","Willow Hall"
"730600698","Cardinal","Fall 2022","In Room","Friley Hall"
"760720747","Silver","Fall 2022","In Room","Lyon Hall"
"800000051","Cardinal","Fall 2022","In Room","Friley Hall"
"800220235","Gold","Fall 2022","In Room","Wallace Hall"
"820280253","Gold","Fall 2022","In Room","Helser Hall"
"890320224","Cardinal","Fall 2022","In Room","Maple Hall"
"800660635","Cardinal","Fall 2022","In Room","Linden Hall"
"930170197","Bronze","Fall 2022","History","Off Campus"
"960240161","Cardinal","Fall 2022","In Room","Larch Hall"
"990300243","50 Flex Block","Fall 2022","In Room","Frederiksen Court 31"
"990530485","25 Flex Block","Fall 2022","Application","Off Campus"
"950590519","Cardinal","Fall 2022","In Room","Maple Hall"
"990720663","Bronze","Fall 2022","In Room","Frederiksen Court 35"
"910700793","50 Flex Block","Fall 2022","History","Off Campus"
"940760718","Cardinal","Fall 2022","In Room","Maple Hall"
"900950943","Silver","Fall 2022","In Room","Roberts Hall"
"950920979","85 Flex Block","Fall 2022","History","Off Campus"
"960900937","50 Flex Block","Fall 2022","History","Off Campus"
"070181011","Cardinal","Fall 2022","In Room","Martin Hall"
"070251048","Cardinal","Fall 2022","In Room","Geoffroy Hall"
"010101125","Cardinal","Fall 2022","In Room","Birch Hall"
"020191136","25 Flex Block","Fall 2022","In Room","Frederiksen Court 21"
"000231254","Gold","Fall 2022","In Room","Geoffroy Hall"
"080471331","Cardinal","Fall 2022","In Room","Larch Hall"
"080501422","Gold","Fall 2022","In Room","Martin Hall"
"090551423","Cardinal","Fall 2022","In Room","Willow Hall"
"090571443","Cardinal","Fall 2022","In Room","Wallace Hall"
"040581514","105 Flex Block","Fall 2022","History","Off Campus"
"050661649","Silver","Fall 2022","In Room","Frederiksen Court 42"
"060711641","85 Flex Block","Fall 2022","In Room","Frederiksen Court 51"
"080761693","Silver","Fall 2022","In Room","Frederiksen Court 52"
"000801798","Cardinal","Fall 2022","In Room","Elm Hall"
"060791797","50 Flex Block","Fall 2022","History","Off Campus"
"100121100","Cardinal","Fall 2022","In Room","Martin Hall"
"170141198","Cardinal","Fall 2022","In Room","Welch Hall"
"190221193","50 Flex Block","Fall 2022","History","Off Campus"
"130401423","Bronze","Fall 2022","History","Off Campus"
"180401459","Cardinal","Fall 2022","In Room","Willow Hall"
"110761795","Gold","Fall 2022","In Room","Helser Hall"
"180831742","Gold","Fall 2022","In Room","Oak Hall"
"100821874","Cardinal","Fall 2022","In Room","Friley Hall"
"150071970","Cardinal","Fall 2022","In Room","Maple Hall"
"260011009","Gold","Fall 2022","In Room","Wallace Hall"
"200811100","Cardinal","Fall 2022","In Room","Willow Hall"
"230261284","Bronze","Fall 2022","History","Off Campus"
"280601542","Gold","Fall 2022","History","Off Campus"
"280751663","Cardinal","Fall 2022","In Room","Lyon Hall"
"200731785","Cardinal","Fall 2022","In Room","Helser Hall"
"230761723","Cardinal","Fall 2022","In Room","Helser Hall"
"210811801","Bronze","Fall 2022","History","Off Campus"
"200901913","Bronze","Fall 2022","In Room","Martin Hall"
"330141153","Cyclone","Fall 2022","In Room","Friley Hall"
"320231287","Cardinal","Fall 2022","In Room","Barton Hall"
"350351270","Cardinal","Fall 2022","In Room","Helser Hall"
"360281296","Gold","Fall 2022","Reserved","Barton Hall"
"330421406","Gold","Fall 2022","In Room","Linden Hall"
"390691564","Cardinal","Fall 2022","In Room","Friley Hall"
"300491865","Cardinal","Fall 2022","In Room","Elm Hall"
"380841858","Cardinal","Fall 2022","In Room","Helser Hall"
"390961853","Silver","Fall 2022","In Room","Frederiksen Court 33"
"360001990","50 Flex Block","Fall 2022","History","Off Campus"
"420061042","105 Flex Block","Fall 2022","Application","Off Campus"
