"ID","Meal Plan Description","Term Session Description","Entry Status Description","Room Location Description"
"100090081","Campanile","Fall 2024","In Room","Frederiksen Court"
"110030032","Campanile","Fall 2024","History","Off Campus"
"120060005","Cardinal","Fall 2024","In Room","Friley Hall"
"130020006","Campanile","Fall 2024","In Room","Wallace Hall"
"160150080","Cardinal","Fall 2024","In Room","Friley Hall"
"180100094","100 Meal Blocks","Fall 2024","History","Off Campus"
"190130075","Gold","Fall 2024","In Room","Larch Hall"
"140150175","Campanile","Fall 2024","History","Off Campus"
"170290181","50 Meal Blocks","Fall 2024","In Room","Frederiksen Court"
"150260208","Cardinal","Fall 2024","In Room","Buchanan Hall"
"170390291","Gold","Fall 2024","In Room","Eaton Hall"
"170770659","Cardinal","Fall 2024","In Room","Wilson Hall"
"110760725","Cardinal","Fall 2024","In Room","Martin Hall"
"160860868","50 Meal Blocks","Fall 2024","History","Off Campus"
"160860868","25 Meal Blocks","Fall 2024","History","Off Campus"
"170910843","Cardinal","Fall 2024","In Room","Maple Hall"
"180000912","Cardinal","Fall 2024","In Room","Helser Hall"
"240190117","50 Meal Blocks","Fall 2024","History","Off Campus"
"280320203","Cardinal","Fall 2024","Application","Off Campus"
"260600552","Cardinal","Fall 2024","In Room","Welch Hall"
"210680602","Cardinal","Fall 2024","In Room","Friley Hall"
"270510891","Cardinal","Fall 2024","In Room","Birch Hall"
"280080954","Cardinal","Fall 2024","In Room","Frederiksen Court"
"340090089","Cardinal","Fall 2024","In Room","Maple Hall"
"350110080","100 Meal Blocks","Fall 2024","History","Off Campus"
"380110090","50 Meal Blocks","Fall 2024","History","Off Campus"
"390380223","100 Meal Blocks","Fall 2024","In Room","Frederiksen Court"
"330400407","50 Meal Blocks","Fall 2024","In Room","Frederiksen Court"
"340500538","Campanile","Fall 2024","In Room","Frederiksen Court"
"350710631","Cardinal","Fall 2024","In Room","Friley Hall"
"330710769","100 Meal Blocks","Fall 2024","History","Off Campus"
"470240192","25 Meal Blocks","Fall 2024","In Room","Frederiksen Court"
"460240288","Campanile","Fall 2024","History","Off Campus"
"410410352","Cardinal","Fall 2024","In Room","Birch Hall"
"440370368","100 Meal Blocks","Fall 2024","In Room","Frederiksen Court"
"480020977","Cardinal","Fall 2024","In Room","Linden Hall"
"560360231","Cardinal","Fall 2024","In Room","Barton Hall"
"600050051","Cardinal","Fall 2024","In Room","Friley Hall"
"690510465","Cardinal","Fall 2024","In Room","Friley Hall"
"610560562","Cardinal","Fall 2024","In Room","Linden Hall"
"650790680","Gold","Fall 2024","In Room","Maple Hall"
"620860863","Cardinal","Fall 2024","History","Off Campus"
"610920922","25 Meal Blocks","Fall 2024","History","Off Campus"
"610920977","Cardinal","Fall 2024","In Room","Friley Hall"
"730020028","Cardinal","Fall 2024","In Room","Larch Hall"
"730080046","Campanile","Fall 2024","In Room","Frederiksen Court"
"740070039","100 Meal Blocks","Fall 2024","History","Off Campus"
"760050027","Gold","Fall 2024","In Room","Helser Hall"
"770060068","Campanile","Fall 2024","In Room","Frederiksen Court"
"700150105","Campanile","Fall 2024","History","Off Campus"
"740130158","Campanile","Fall 2024","History","Off Campus"
"740160169","Cardinal","Fall 2024","In Room","Helser Hall"
"710410422","25 Meal Blocks","Fall 2024","Application","Off Campus"
"720460406","Campanile","Fall 2024","Application","Off Campus"
"730460458","Cardinal","Fall 2024","In Room","Geoffroy Hall"
"760580410","50 Meal Blocks","Fall 2024","In Room","Frederiksen Court"
"730600698","50 Meal Blocks","Fall 2024","History","Off Campus"
"760800817","Campanile","Fall 2024","In Room","Frederiksen Court"
"780930823","Cardinal","Fall 2024","In Room","Maple Hall"
"800000051","50 Meal Blocks","Fall 2024","In Room","Frederiksen Court"
"880230103","Cardinal","Fall 2024","In Room","Martin Hall"
"880260133","Campanile","Fall 2024","History","Off Campus"
"880250163","Cardinal","Fall 2024","In Room","Eaton Hall"
"860280206","50 Meal Blocks","Fall 2024","Application","Off Campus"
"810320376","Cardinal","Fall 2024","In Room","Friley Hall"
"830370346","Cardinal","Fall 2024","In Room","Martin Hall"
"820550525","Gold","Fall 2024","In Room","Frederiksen Court"
"800870864","Campanile","Fall 2024","History","Off Campus"
"800970924","Cardinal","Fall 2024","In Room","Willow Hall"
"950220286","50 Meal Blocks","Fall 2024","History","Off Campus"
"900810457","Cardinal","Fall 2024","In Room","Eaton Hall"
"910590505","Cardinal","Fall 2024","In Room","Elm Hall"
"940640669","Campanile","Fall 2024","In Room","Frederiksen Court"
"920970957","Cardinal","Fall 2024","In Room","Willow Hall"
"070181011","100 Meal Blocks","Fall 2024","History","Off Campus"
"000231254","Campanile","Fall 2024","In Room","University Village"
"080431313","Cardinal","Fall 2024","In Room","Frederiksen Court"
