"ID","Fall 2021","Spring 2022","Fall 2022","Spring 2023","Fall 2023","Spring 2024","Fall 2024","Spring 2025"
3588764,NA,NA,NA,NA,NA,NA,"Cardinal","Cardinal"
3681943,"Cardinal","Cardinal",NA,NA,NA,NA,NA,NA
3719143,NA,NA,NA,NA,"Cardinal","Cardinal",NA,NA
3847320,NA,NA,NA,NA,NA,NA,"Campanile","Campanile"
3937128,NA,NA,NA,NA,"Cardinal","Gold",NA,NA
4009505,NA,NA,NA,NA,"Cardinal","Cardinal",NA,NA
4011485,NA,NA,NA,NA,"Gold","Gold",NA,NA
4019535,NA,NA,NA,NA,NA,NA,"Cardinal","Cardinal"
4024412,NA,NA,"105 Flex Block",NA,"50 Meal Blocks","25 Meal Blocks",NA,NA
4039525,NA,NA,NA,NA,NA,NA,"Cardinal","Cardinal"
4059545,NA,NA,NA,NA,"Gold","Campanile","Campanile","Campanile"
4069574,"Cardinal","Cardinal",NA,NA,NA,NA,NA,NA
4089594,"Cardinal","Cardinal",NA,NA,NA,NA,NA,NA
4099511,"Cardinal","Cardinal",NA,NA,NA,NA,NA,NA
4111505,NA,NA,"Cardinal","Gold",NA,NA,NA,NA
4125511,NA,NA,NA,NA,NA,NA,"Cardinal","Cardinal"
4149645,NA,NA,NA,NA,NA,NA,"Gold","Gold"
4159662,"Cardinal",NA,NA,NA,NA,NA,NA,NA
4209735,NA,NA,NA,NA,NA,NA,"Cardinal","Cardinal"
4229705,NA,NA,"Gold",NA,NA,NA,NA,NA
4229755,NA,NA,NA,NA,NA,NA,"Gold","Gold"
4280645,NA,NA,NA,NA,NA,NA,"Cardinal","Cardinal"
4309710,"Cardinal","Cardinal",NA,NA,NA,NA,NA,NA
4329815,NA,NA,NA,NA,NA,NA,"Cardinal","Cardinal"
4403909,NA,NA,NA,NA,"Cardinal","Cardinal",NA,NA
4419935,NA,NA,NA,NA,NA,NA,"Cardinal","Cardinal"
4419995,"Gold","Gold",NA,NA,NA,NA,NA,NA
4433979,"Gold","Gold",NA,NA,NA,NA,NA,NA
4451881,"50 Flex Block","50 Flex Block",NA,NA,NA,NA,NA,NA
4479952,NA,NA,"Cardinal","Cardinal","Gold","Campanile","50 Meal Blocks",NA
4489975,NA,NA,NA,NA,"Cardinal","Cardinal","Cardinal","Cardinal"
4519034,"Cardinal","Cardinal","50 Flex Block","50 Flex Block",NA,NA,NA,NA
4529035,NA,NA,"Cyclone",NA,NA,NA,NA,NA
4541981,NA,NA,NA,NA,NA,NA,"Cardinal","Cardinal"
4544099,"50 Flex Block",NA,NA,NA,NA,NA,NA,NA
4559096,NA,NA,"Cardinal","Cardinal",NA,NA,NA,NA
4569044,NA,NA,NA,NA,NA,NA,"Cardinal",NA
4573978,NA,NA,NA,NA,NA,NA,"Gold","Gold"
4589025,NA,NA,"Gold","Gold","Campanile",NA,NA,NA
4591969,NA,NA,NA,NA,NA,NA,"Cardinal","Cardinal"
4599077,NA,NA,"Gold","Gold",NA,NA,NA,NA
4620015,"Cardinal","Cardinal",NA,NA,NA,NA,NA,NA
4629187,"Cardinal","Cardinal",NA,NA,NA,NA,NA,NA
4690036,NA,NA,NA,NA,"Cardinal","Cardinal","Campanile","Campanile"
4706197,NA,NA,NA,NA,NA,NA,"Gold","Gold"
4709065,NA,NA,"Cardinal","Cardinal","Cardinal","Cardinal",NA,NA
4709246,NA,NA,"Cardinal","Cardinal",NA,NA,NA,NA
4709276,NA,NA,"Cardinal","Cardinal","Cardinal","Cardinal","25 Meal Blocks","25 Meal Blocks"
4710176,NA,NA,"Cardinal","Gold",NA,NA,NA,NA
4755190,NA,NA,"Cardinal","CyFlex",NA,NA,NA,NA
4759275,NA,NA,NA,NA,"Cardinal","Gold",NA,NA
4769245,NA,NA,NA,NA,"Cardinal","Gold",NA,NA
4769274,"Cardinal","Cardinal",NA,NA,NA,NA,NA,NA
4779245,NA,NA,NA,NA,"Campanile","Campanile","Campanile","Campanile"
4786215,"Cardinal","Cardinal",NA,NA,NA,NA,NA,NA
4829345,NA,NA,NA,NA,"Cardinal","Cardinal",NA,NA
4829385,NA,NA,NA,NA,"Cardinal","Cardinal",NA,NA
4919485,"Cardinal","Cardinal","Gold","Gold","Campanile","Campanile","Campanile","50 Meal Blocks"
