Year,University Name,Student Classification,Resident Status,Headcount
2019,Iowa State University,Graduate,Resident,1251
2019,Iowa State University,Professional,Non-Resident,374
2019,Iowa State University,Professional,Resident,225
2019,Iowa State University,Undergraduate,Non-Resident,11429
2019,Iowa State University,Undergraduate,Resident,16865
2019,University of Iowa,Graduate,Non-Resident,3011
2019,University of Iowa,Graduate,Resident,2889
2019,University of Iowa,Professional,Non-Resident,678
2019,University of Iowa,Professional,Resident,1180
2019,University of Iowa,Undergraduate,Non-Resident,8859
2019,University of Iowa,Undergraduate,Resident,14623
2019,University of Northern Iowa,Graduate,Non-Resident,321
2019,University of Northern Iowa,Graduate,Resident,1203
2019,University of Northern Iowa,Undergraduate,Non-Resident,782
2019,University of Northern Iowa,Undergraduate,Resident,8191
2020,Iowa State University,Graduate,Non-Resident,3077
2020,Iowa State University,Graduate,Resident,1275
2020,Iowa State University,Professional,Non-Resident,389
2020,Iowa State University,Professional,Resident,238
2020,Iowa State University,Undergraduate,Non-Resident,10448
2020,Iowa State University,Undergraduate,Resident,16398
2020,University of Iowa,Graduate,Non-Resident,3175
2020,University of Iowa,Graduate,Resident,2966
2020,University of Iowa,Professional,Non-Resident,694
2020,University of Iowa,Professional,Resident,1179
2020,University of Iowa,Undergraduate,Non-Resident,8342
2020,University of Iowa,Undergraduate,Resident,13962
2020,University of Northern Iowa,Graduate,Non-Resident,348
2020,University of Northern Iowa,Graduate,Resident,870
2020,University of Northern Iowa,Undergraduate,Non-Resident,719
2020,University of Northern Iowa,Undergraduate,Resident,7585
2021,Iowa State University,Graduate,Non-Resident,2977
2021,Iowa State University,Graduate,Resident,1287
2021,Iowa State University,Professional,Non-Resident,397
2021,Iowa State University,Professional,Resident,239
2021,Iowa State University,Undergraduate,Non-Resident,10102
2021,Iowa State University,Undergraduate,Resident,15706
2021,University of Iowa,Graduate,Non-Resident,3402
2021,University of Iowa,Graduate,Resident,3013
2021,University of Iowa,Professional,Non-Resident,746
2021,University of Iowa,Professional,Resident,1140
2021,University of Iowa,Undergraduate,Non-Resident,8104
2021,University of Iowa,Undergraduate,Resident,13504
2021,University of Northern Iowa,Graduate,Non-Resident,287
2021,University of Northern Iowa,Graduate,Resident,963
2021,University of Northern Iowa,Undergraduate,Non-Resident,663
2021,University of Northern Iowa,Undergraduate,Resident,7318
2022,Iowa State University,Graduate,Non-Resident,2845
2022,Iowa State University,Graduate,Resident,1249
2022,Iowa State University,Professional,Non-Resident,397
2022,Iowa State University,Professional,Resident,237
2022,Iowa State University,Undergraduate,Non-Resident,10031
2022,Iowa State University,Undergraduate,Resident,15210
2022,University of Iowa,Graduate,Non-Resident,3301
2022,University of Iowa,Graduate,Resident,2855
2022,University of Iowa,Professional,Non-Resident,770
2022,University of Iowa,Professional,Resident,1116
2022,University of Iowa,Undergraduate,Non-Resident,8636
2022,University of Iowa,Undergraduate,Resident,13337
2022,University of Northern Iowa,Graduate,Non-Resident,217
2022,University of Northern Iowa,Graduate,Resident,993
2022,University of Northern Iowa,Undergraduate,Non-Resident,617
2022,University of Northern Iowa,Undergraduate,Resident,7122
2023,Iowa State University,Graduate,Non-Resident,3005
2023,Iowa State University,Graduate,Resident,1205
2023,Iowa State University,Professional,Non-Resident,401
2023,Iowa State University,Professional,Resident,234
2023,Iowa State University,Undergraduate,Non-Resident,10474
2023,Iowa State University,Undergraduate,Resident,14858
2023,University of Iowa,Graduate,Non-Resident,3401
2023,University of Iowa,Graduate,Resident,2678
2023,University of Iowa,Professional,Non-Resident,732
2023,University of Iowa,Professional,Resident,1101
2023,University of Iowa,Undergraduate,Non-Resident,9024
2023,University of Iowa,Undergraduate,Resident,13106
2023,University of Northern Iowa,Graduate,Non-Resident,218
2023,University of Northern Iowa,Graduate,Resident,1061
2023,University of Northern Iowa,Undergraduate,Non-Resident,685
2023,University of Northern Iowa,Undergraduate,Resident,7057
2024,Iowa State University,Graduate,Non-Resident,3028
2024,Iowa State University,Graduate,Resident,1142
2024,Iowa State University,Professional,Non-Resident,402
2024,Iowa State University,Professional,Resident,232
2024,Iowa State University,Undergraduate,Non-Resident,10886
2024,Iowa State University,Undergraduate,Resident,14742
2024,University of Iowa,Graduate,Non-Resident,3532
2024,University of Iowa,Graduate,Resident,2632
2024,University of Iowa,Professional,Non-Resident,763
2024,University of Iowa,Professional,Resident,1114
2024,University of Iowa,Undergraduate,Non-Resident,9490
2024,University of Iowa,Undergraduate,Resident,13248
2024,University of Northern Iowa,Graduate,Non-Resident,225
2024,University of Northern Iowa,Graduate,Resident,1342
2024,University of Northern Iowa,Undergraduate,Non-Resident,699
2024,University of Northern Iowa,Undergraduate,Resident,7017
