Rating,Body,Dining Hall,Date,reviewUrl
5,Defiantly the best dining center on campus. Everyone is so friendly and they offer some different food options.,Conversations Dining,3/4/2016,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNBbnYtUnlBRRAB!2m1!1s0x0:0x85557bc4b60f6131!3m1!1s2@1:CIHM0ogKEICAgICAnv-RyAE%7CCgwI_I_ntgUQgIyNngI%7C?hl=en
5,One of the smaller dining halls at Iowa State but it has different selection of food,Conversations Dining,3/16/2019,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURvN28zQW9nRRAB!2m1!1s0x0:0x85557bc4b60f6131!3m1!1s2@1:CIHM0ogKEICAgIDo7o3AogE%7CCgsIxtm15AUQuLaZEA%7C?hl=en
5,Cozy dining center on campus with excellent food options!,Conversations Dining,11/26/2021,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURHeG9xRGR3EAE!2m1!1s0x0:0x85557bc4b60f6131!3m1!1s2@1:CIHM0ogKEICAgIDGxoqDdw%7CCgwI-fqBjQYQuKDwpAM%7C?hl=en
5,"Ah man! I wish I could've given this place Six stars! Also, they have Blue Bunny icecream, which is #1",Conversations Dining,8/22/2019,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURVMXYyM1lREAE!2m1!1s0x0:0x85557bc4b60f6131!3m1!1s2@1:CIHM0ogKEICAgIDU1v23YQ%7CCgsIhdv76gUQ0MTvYA%7C?hl=en
5,,Conversations Dining,9/10/2018,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNBcnBhT3FRRRAB!2m1!1s0x0:0x85557bc4b60f6131!3m1!1s2@1:CIHM0ogKEICAgICArpaOqQE%7CCgwI7bLb3AUQwK-F9wI%7C?hl=en
5,Best dining center on campus. Chad is a G,Conversations Dining,1/30/2019,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURJXzZlX2ZBEAE!2m1!1s0x0:0x85557bc4b60f6131!3m1!1s2@1:CIHM0ogKEICAgIDI_6e_fA%7CCgwIvYrE4gUQmOKi-wI%7C?hl=en
5,"Nice dining hall option on ISU campus. Only second to Seasons in my opinion. THE BEST ice cream selection, as well as ""fun"" burger options.",Conversations Dining,9/11/2018,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUN3MDc2d3ZnRRAB!2m1!1s0x0:0x85557bc4b60f6131!3m1!1s2@1:CIHM0ogKEICAgICw076wvgE%7CCgwIg5Td3AUQiKnFxAI%7C?hl=en
5,,Conversations Dining,11/20/2016,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNnbk0zbEpBEAE!2m1!1s0x0:0x85557bc4b60f6131!3m1!1s2@1:CIHM0ogKEICAgICgnM3lJA%7CCgwIjY3HwQUQwNDX1QM%7C?hl=en
5,,Conversations Dining,2/5/2017,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURnczVxdGRBEAE!2m1!1s0x0:0x85557bc4b60f6131!3m1!1s2@1:CIHM0ogKEICAgIDgs5qtdA%7CCgsIiuvcxAUQgISvXw%7C?hl=en
5,"Best dining center on campus for sure. Has maybe two fewer options than the others, but everything is higher quality than Seasons or UDCC. Smaller lines too.",Conversations Dining,2/7/2017,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURndThXdlZBEAE!2m1!1s0x0:0x85557bc4b60f6131!3m1!1s2@1:CIHM0ogKEICAgIDgu8WvVA%7CCgwIhczkxAUQwImjkAI%7C?hl=en
5,,Conversations Dining,5/27/2018,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURRNG9uRTh3RRAB!2m1!1s0x0:0x85557bc4b60f6131!3m1!1s2@1:CIHM0ogKEICAgIDQ4onE8wE%7CCgwI24yt2AUQwK65ygI%7C?hl=en
4,,Conversations Dining,8/28/2019,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURVdWFMVmZnEAE!2m1!1s0x0:0x85557bc4b60f6131!3m1!1s2@1:CIHM0ogKEICAgIDUuaLVfg%7CCgsImcGb6wUQ2IqIHg%7C?hl=en
2,"No longer sit down, food quality took a nosedive in the last year. Dont know if its management or budgeting issues but there are plenty of better options",Conversations Dining,4/25/2023,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURSbnFhdi1RRRAB!2m1!1s0x0:0x85557bc4b60f6131!3m1!1s2@1:CIHM0ogKEICAgIDRnqav-QE%7CCgwIoJihogYQqMWMhAI%7C?hl=en
5,Best dining center on campus,Conversations Dining,3/6/2019,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNvcjh5NGpBRRAB!2m1!1s0x0:0x85557bc4b60f6131!3m1!1s2@1:CIHM0ogKEICAgICor8y4jAE%7CCgwIkdj84wUQ8P_JrwE%7C?hl=en
4,Love the late night meal bundles,Conversations Dining,12/26/2016,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNRNmFIcHJ3RRAB!2m1!1s0x0:0x85557bc4b60f6131!3m1!1s2@1:CIHM0ogKEICAgICQ6aHprwE%7CCgwI8aWDwwUQgM7txwM%7C?hl=en
